rating,title,text,location,num_contributions,date
5,Otima Cidade para passeios em familia.,"Cidade tranquila, com boas praias, restaurantes e o Beto Carreiro. Há algumas ruas de terra ainda, mas nada que atrapalhe o passeio.",,1,22 de abril de 2025
1,Praia abandonada,"Praia suja , mal cuidada , lixo espalhado pela orla inteira isso óbvio pela falta de educação das pessoas bem como pela negligência do poder público . Água marrom , impropria para banho , etc Fujam dessa praia","Cotia, SP",18,8 de janeiro de 2025
5,Caro e fica em praia impropria para banho,"Lugar aconchegante porém com preço de consumo abusivo, e praia impropria para banho. Não compensa o valor, não recomendo",,2,4 de outubro de 2024
5,Tardena Praia Alegre,"Praia muito legal para ir com a família, mar calmo para as crianças! Alguns bares e restaurantes que servem petiscos na areia, gostamos muito do Pexero","Penha, SC",3,13 de junho de 2024
4,"Tem potencial, só precisa de atenção do pode público","Eu frequento a cidade de Penha desde 2002, é triste ver o que a Praia Alegre é o Trapiche se tornaram. Na alta temporada a quantidade de lixo é absurda. O local é bom para praticar esportes, pedalar, patinar. Tem vários barzinhos na beira da praia, o visual é bonito. Mas falta cuidado da prefeitura, parece que abandonaram.","Gaspar, SC",1,1 de junho de 2024
1,O nome é Praia Alegre. Pela poluição deveria se chamar Praia Triste.,"Praia poluída. Estávamos em Armação e decidimos conhecer outras praias da cidade. Escolhemos a Praia Alegre, que na verdade está muito triste pela questão ambiental. Água escura com cheiro de podre. Muitos dejetos boiando, sujeira em toda a água e peixes mortos boiando e na areia. E não era 1 peixe. Eram vários peixes. Estávamos com nossa filha de 5 anos e fomos pela informação do site da prefeitura que diz que é ótima pra crianças. Decidimos voltar para Armação que é belíssima e limpíssima. Não levem seus filhos na praia alegre","Blumenau, SC",13,7 de janeiro de 2024
3,Férias com a família!,"Praia movimentada, boa para crianças! Apesar do movimento o ambiente é agradável! Para utilizar serviços dos quiosques (restaurantes) é preciso fazer reserva devido a alta temporada! Não há atendimento nas sobrinhas!","Belo Horizonte, MG",26,7 de janeiro de 2024
4,Passeando por Penha!,"Passeando pela Praia de Penha conhecemos a Praia Alegre. Oferece uma boa infraestrutura com quiosques , as águas são calmas e tranquilas, ideal para ir com crianças ou idosos. O visual é lindo demais.","Farroupilha, RS",34,26 de agosto de 2023
5,Praia alegre,"Praia pequena e calma, não cheguei a entrar na água, tem um canto impróprio para banho. Local bom para lazer e praticar esportes.","Gaspar, SC",1,8 de maio de 2023
4,Praia tranquila mas com ressalvas,Praia tranquila e bem familiar. As águas são meio turvas pela mistura com o rio ao lado que traz também muitos ganhos que dificultam criança pequena a entrar na água.,,104,22 de janeiro de 2023
5,Praia limpa e tranquila,"É uma praia bem gostosa, limpa e tranquila. O nome reflete bem a condição das pessoas por lá.  Ambiente familiar e agradável.","Araras, SP",9,18 de abril de 2022
4,Passeio para relaxar,"Praia muito tranquila, de fácil acesso, com pequenos estabelecimentos comerciais próximos. Minha filha de 4 anos adorou brincar pegando conchinhas e  na época que fomos, em novembro, a água não estava suja como li em outros relatos. No dia estava ventando muito, mas mesmo assim deu para aproveitar.","Belford Roxo, RJ",73,16 de abril de 2022
4,Até que...,"Avaliação por penha ser uma cidade tranquilo e familiar, mas as praias estão todas com esgoto indo direto para o mar, o cheiro é muito forte.. não entendo como a prefeitura da cidade ainda não tomou providências por ser uma das maiores cidades de fluxo de temporada de SC.",Paraná,1,4 de janeiro de 2022
5,ótima praia,otima praia na cidade de penha um vista maravilhosa  vale a pena conferir fui agora em janeiro 2021 e voltarei em breve,,5,3 de fevereiro de 2021
3,Suja,"A praia é bem legal, vários quiosques na quadra, espaço para jogar volei e futebol de areia, o único problema é a água suja que vem do Rio ao lado da praia","Chapecó, SC",3,11 de janeiro de 2021
5,lugar tranquilo,"lugar tranquilo, águas um pouco enganosas, tem que ter cuidados, mas é bom pra família, tem uma linda vista.","Balneário Camboriú, SC",66,22 de maio de 2020
4,Praia,"Ótima praia para se curtir em família. Com crianças pequenas. Mar cal,o. Prática de stand up padle, caiaque, etc.",,6,6 de março de 2020
3,Praia calma boa para crianças,"Praia bem calma e boa para crianças brincarem. Não é das mais limpas, mas aceitável. Poucos quiosques e vendedores.","Jundiaí, SP",560,20 de fevereiro de 2020
4,Adorei,"Muito boa para crianças, tinhas pontos com árvores aonde dava para ficar embaixo e ficar bem fresquinho, tem local q aluga cadeiras e guarda sol, nas ruas q cortam avenida beira mar, consegue estacionar carros. Deu para aproveitar bastante o dia","São Paulo, SP",18,4 de fevereiro de 2020
