rating,title,text,location,num_contributions,date
5,Espetacular...,"De tirar o fôlego o mar... excelente para aquele banho...lugar badalado com o pessoal em suas lanchas...para chegar só por lancha, jet ski, barco... Indico...voltarei...",,88,1 de fevereiro de 2024
5,Paraíso,"Vale muito a visita a este local fantastico. Voce tem opcap de chegar pela trilha (baatante desafiadora), mas quando chega na praia tudo vale a pena. Paisagem fantastica. Uma opcap de ida/volta sao os barcos que transportam as pessoas. Recomendo…","São Paulo, SP",129,28 de janeiro de 2023
4,"Mar maravilhoso, lugar lindo!","Local lindíssimo, água calma e transparente icmoj.a picina, bem raso, ideal para crianças Adorei, só o acesso é por uma rua estreita e muito congestionada por ser aceso a Bombinhas tbm Mas vale a pena conhecer","Caxias Do Sul, RS",59,23 de janeiro de 2023
5,Amável e Romântico!,"Lindo local, tanto de dia quanto de noite. Amei toda a experiência que Porto Belo me proporcionou. Adorei estar lá a casal!","Joinville, SC",2,16 de outubro de 2021
5,Agua bem clarinha diversão para toda familia,"minha nota e 10 para essa empresa, são de confiança , marinheiros bem educados e ótimo atendimento .","Porto Belo, SC",3,5 de abril de 2021
5,Dia incrível,Fazer um passeio de lancha com amigos no Caixa D’Aço é um passeio incrível. Águas transparentes e quentes no verão tornam tudo inesquecível.,"Florianópolis, SC",26,26 de fevereiro de 2021
5,Praia do  Caixa D Aço caixadaco,"Caixa D Aço ou conhecido como praia do  Caixa D Aço maravilhoso foi nosso dia. Visitamos todos bares,  tivemos que contratar uma lancha da empresa safety em que  fez o passeio nesse paraíso. recomendo.",,3,17 de janeiro de 2021
5,Melhor vista de minha vida!,"Viajei com minha namorada para Bombinhas no início de Maio, numa sexta-feira fomos a praia de Caixa D'aço e fomos a um restaurante maravilhoso que fica perto da praia. Foi uma experiência fantástica e inesquecível, voltaremos com certeza!","Rio Grande, RS",1,28 de maio de 2020
1,Porto Belo tem cantos melhores e mais sossegados,"Praia linda, porém invadida por lanchas com som alto e pessoas gritando durante a noite. Horrível experiência. Seria fantástica se as autoridades colocassem ordem.","Indaial, SC",23,2 de março de 2020
5,Linda!,"Visitei a praia no carnaval com a minha namorada e achamos o lugar maravilhoso! Para adentrar a praia é necessário deixar o carro no estacionamento para ficar mais fácil e a rua de acesso é estreita para deixar os carros estacionados. A maré subiu enquanto estávamos lá mas mesmo assim foi ótima e ficamos lá aproveitando, tinham poucas pessoas e estava muito tranquilo na areia! Se tiver a oportunidade visite a praia de barco, jet ski ou lancha se curtir festar com os demais que ficam no mar e também pode desfrutar do restaurante flutuante.","São José, SC",11,27 de fevereiro de 2020
5,Lancha com criança,"Vamos na praia do caixa d’Aço já a algum tempo. O maior movimento de lanchas com toda a certeza é no réveillon e no feriado de carnaval. Há muita lancha e jetski lá neste período e em finais de semana. Durante a semana é tranquilo. Sempre vamos com nosso filho de 3 anos, ele entra no mar conosco, brinca com as boias coloridas, assiste desenho no celular e acaba passando o dia todo lá conosco. É linda esta praia, tem dois bares flutuantes. Vc pode pedir tele entrega do bar flutuante. Eles levam até a sua lancha o seu pedido. Adoramos!!! Vale conhecer e ir sempre q puder!!!","Campo Bom, RS",183,25 de janeiro de 2020
2,Praia fedorenta,"Boa somente para quem estiver de Iate, pois a areia é suja, a água é cheia de lodo, e certos pontos chega a feder a esgoto. Não vale apena, há muitas outras praias lindas para conhecer ao redor.","Porto Alegre, RS",2,13 de janeiro de 2020
2,Só de barco.,Ir à pe para a praia do caixa d aço não é  oque de melhor tem  nas proximidades . Acredite :  é bem diferente mergulhar de barco e acessar o mar pela praia. Para ir a pé prefira a praia do estaleiro,,15,26 de março de 2019
2,Péssimo atendimento da recepção,"Péssima avaliação, os atendentes não comunicam-se entre si, enquanto um ajuda, a outra não demonstra a minima vontade de ajudar a solucionar o problema, só após insistência ela chama a direção do hotel, não vale o preço que se paga.",,1,25 de fevereiro de 2019
5,De tirar o fôlego,Simplesmente incrível. Recomendamos demais. Você olha e agradece a Deus pela maravilha que está vendo.,"Santo Ângelo, RS",24,12 de fevereiro de 2019
4,praia com aguas rasas,"é uma praia bem bonita com águas rasas ideal para crianças possui sombra e um bar, para acessar o local vai por uma estradinha de terra e é cobrado estacionamento","Campo Bom, RS",68,9 de janeiro de 2019
5,Praia boa,Uma ótima praia com uma água boa mesmo depois de terem relaxado um pouco com o local por motivos que não sei mas é uma ótima praia,"Porto Belo, SC",2,4 de janeiro de 2019
5,Cantinho privilegiado!,"A Praia do Caixa D'Aço em Porto Belo é uma verdadeira ""Caixa de Aço"", linda baía protegida dos fortes ventos e águas tranquilas. Tranquilo também para quem vai de barco e ancora ali para usufruir os petiscos de pequenos bares flutuantes que com bote prestam serviço delivery. Para quem vai de carro é necessário exercer a paciência,ir cedo para conseguir estacionamento e pequena caminhada, mas quando desce para a praia, usufrui igual, da água morna rasinha, sem arrebentação e barzinhos. Perfeito!","Porto Belo, SC",9,9 de julho de 2018
3,Passeio de Lancha,"Visitamos a praia em uma lancha que alugamos em Porto Belo.Valeu muito mais pelo passeio da lancha e pela comodidade dos serviços prestados do que pela local em si, lá tem bares flutuantes porém levamos cervejas,espumantes no frezeer da lancha e carne pois nosso marinheiro serviu excelente churrasco preparado na própria lancha.Recomendo a empresa da Mariana lá na Marina de Porto Belo.","Fátima do Sul, MS",50,30 de abril de 2018
4,Praia tranquila,"Se é paz que buscam, aqui na praia caixa d'aço vocês encontram de montão,  um lugar bem tranquilo com barcos ancorados e navios de pirata (passeio local) passando na sua frente. Lugar bom para quem tem crianças).","Roma, Itália",223,19 de março de 2018
4,Praia do Caixa D’aço,Praia excelente com uma ótima vista para o mar . O quiosque que fica perto se valoriza pois serve os clientes com o máximo respeito.,,7,8 de março de 2018
5,Otimo local para passar o dia,Praia muito boa apesar de pequena mas a água muito quente e bem calma para tomar banho e nadar com tranquilidade,,85,28 de fevereiro de 2018
5,Praia linda!!!,"Praia linda de água limpíssima. Para poder passar o dia paga-se o estacionamento valor 20,00, mas como ficamos somente uns minutos para conhecer o tio falou que era só para dar uma gorjeta. Na praia tem somente um quiosque de apoio então recomendo levar mantimentos para passar o dia ... nessa praia também vai encontrar muitas lanchas ancoradas aproveitando o visual lindo da natureza .","Balneário Camboriú, SC",1,19 de fevereiro de 2018
5,maravilhosa,"lugar lindo de gente linda, passar o dia no mar em uma embarcaçao, disfrutando da água salgada é tudo de bom",,5,27 de janeiro de 2018
5,Excelente diversão,"Muito bom para passar o dia com amigos, quem quer muvuca coloca seu barco perto da muvuca, quem quiser pode ficar um pouco mais afastado ou até perto da praia, também tem excelentes bares flutuantes","Itajaí, SC",19,23 de janeiro de 2018
5,Passeio de lancha Caixa D’Aço,"Com uma lancha e fomos ao Caixa D’Aço, após 8 anos, e continua igual, cheio de pessoas jovens, bonitas, e solteiras. Fomos em família, porém o ambiente não é o mais apropriado para isso, pois é mais indicado para quem quer curtir, estilo balada na praia. Há um bar flutuante onde se pode adquirir diversas bebidas e comidas rápidas, assim como um barco que circula com picolés e sorvetes. Conta com um bom hotel (Caixa D’Aço Exclusive) também voltado à casais, com uma vista incrível e atendimento acompanhado de perto pelo dono. Recomendo.","São Paulo, SP",40,16 de janeiro de 2018
5,Maravilhosa,Paramos para um mergulho e foi sensacional. Indescritível mesmo. Vale o passeio. Conta com um bar flutuante e água limpa.,"Curitiba, PR",66,29 de dezembro de 2017
5,descanso,"excelente lugar para um bom descanso, agua cristalina, em meio a natureza, próximo de um camping na praia a lado. Acesso com restrição para quem tem dificuldade de locomoção","Tijucas, SC",110,23 de novembro de 2017
5,Excelente,"Hotel excepcional. Localização privilegiada ""pé na areia"". Hotel novo, recém inaugurado. Roupas de cama novas, mimos em cada detalhe. Café da manhã muito farto. Restaurante à la carte prepara ótimas refeições. Serviço de quarto e room service perfeitos. Equipe do hotel extremamente solícita. Hotel para voltar e indicar de olhos fechados. Realmente ele é exclusive.","Porto Alegre, RS",4,15 de novembro de 2017
4,Incrível,"Realmente a vista vale a pena a visita, um privilégio da natureza e Deus, rústico e maravilhoso, com certeza voltaremos.","Curitiba, PR",767,23 de junho de 2017
5,Excelente para família e criança,"Água tranquila, quase uma lagoa. No verão chegar bem cedo, tipo 08 h e sair ás 11:00, depois aparecem alguns com som alto. Aproveita e come um pastel da barriquinha, muito bom!","São José dos Campos, SP",6,11 de junho de 2017
5,Lindo.,"Local acessível de carro ou de barco. É uma praia muito gostosa e muito usada para mergulho, vale a pena fazer o passeio com barco pirata e para no local para banhar-se. Até onde eu lembro havia um bar flutuante.","Cunha Porã, SC",79,24 de maio de 2017
4,Vila de Pescador da moda,"O local é muito bonito, antigamente era somente uma vila de pescadores. Hoje em dia virou point de barcos luxuosos, e é quase impossível chegar lá de carro sem pegar muito trânsito.","Iguape, SP",1,13 de abril de 2017
5,Água cristalina!,"Praia com água cristalina e sem ondas, lugar incrível para mergulho. Muito lindo os bares flutuantes. O ponto negativo é a competição de som entre as lanchas no fds.","Curitiba, PR",18,12 de abril de 2017
4,Vá fora de temporada,"Recomendo a visita fora de temporada, pois a água fica limpa e a praia fica quase exclusiva sua. Na temporada fica tomada de barcos e nada pode ser aproveitado. Vá de barco até o local. O passeio é bastante barato. Lugar de águas calmas.",,42,7 de abril de 2017
4,Surreal,"Lugar badalado por usuários de lanchas e Jet Ski, se você procura um local mais agitado na temporada com música é curtição este é o lugar ideal, praia tranquila e é possível avistar os dois bares flutuantes sem acesso terrestre. Na alta temporada é quase impossível avistar os bares.",Rio Grande do Sul,32,21 de março de 2017
5,Top,"Cheio de lanchas , bar flutuante que só vai de lancha , gente linda, música nas lanchas bem alto , mar bem calmo e não tem ondas .","Itatinga, SP",280,4 de março de 2017
4,Mais uma excelente opção de praia para passar o dia em SC,"Praia pequena, cercada pela exuberante mata atlântica, perfeita para passar o dia curtindo um mar limpo e calmo...a maioria dos visitantes chegam de barco, iates ou jet ski e ficam encorados em frente a praia, existem bares flutuantes em frente a praia, mas só se chega de barco ou algo do gênero, existe também um pequeno restaurante na praia, mas bem limitado e com pouca infra estrutura, devido a área ser de preservação permanente, segundo moradores locais...recomendo a visita","Santa Cruz do Sul, RS",73,15 de fevereiro de 2017
5,Praia Caixa d'Aço,"Lugar lindo em Porto Belo. A praia é pequena, a maioria dos visitantes vão de barco/iate. no local existem alguns bares flutuantes.","Jaraguá do Sul, SC",53,14 de fevereiro de 2017
5,Ótimo,Um belíssimo lugar para passar um dia curtindo o lugar pois é uma praia com o mar bem calmo pois não tem ondas é ideal para levar crianças. Tem um Restaurante flutuante no local,"Itapema, SC",182,8 de fevereiro de 2017
5,Ótima praia,Ótima praia.  Pena que mesmo no sol continuava frio. Tem uns restaurantes que servem na praia  muito bons. Mar bravo pteferi não entrar.,"Florianópolis, SC",1,3 de fevereiro de 2017
4,Excelente praia,"Excelente praia para quem gosta de nadar. O acesso a praia exige caminhada. Pra quem vai de carro (tem estacionamento no local 20 reais /aceita cartão ) ou através de barco/ lancha. A faixa de areia da praia é curta (falta lixeiras) e tem um bar simples  proximo da areia, além de bares flutuantes (acesso de lancha, moto aquática ou a nado) próximo da praia. O local em si é maravilhoso para relaxar e o fluxo de lanchas e iates é alto, essa área porém, é separada dos banhistas  para evitar transtornos e acidentes.",,3,29 de janeiro de 2017
2,Decepção,"A vista e o restaurante Mirante salvaram a visita. Esta praia em si é uma pequena enseada, com um único quiosque mal tratado, de areia batida enlameada e com muito lixo pelo chão. O fluxo de iates e barcos de luxo podem contribuir e muito pra essa situação. Aliás, uma parada ali durante o passeio de barco é a única opção que vale a pena no local, porque claro, o turista ñ terá contato com essa realidade. Muito mais valeu a pena ir um pouco adiante e passar o dia na Praia do Estaleiro: linda, bem cuidada, de águas claras e mansas. Vegetação nativa exuberante!",,11,28 de janeiro de 2017
5,Lindo,"Fomos em uma embarcação até o local muito linda a paisagem por todos os lados vc pode perder horas e horas admirando a natureza na tua volta, pessoas educadas.","Cachoeirinha, RS",39,18 de janeiro de 2017
4,Atipico,Enseada que reúne muitos barcos e bares que se liga e eles entregam na lancha em que vc está! Muito bom!!!,"Londrina, PR",9,9 de janeiro de 2017
5,bonito,"Praia sem onda,lugar calmo mas achei uma praia suja areia escura e perigosa pra crianças pequenas e de dificil acesso pra deficientes",,24,20 de novembro de 2016
3,"Já foi um maravilhoso lugar para passar o dia, agora esta cheio demais.","Uma baia com aguas calmas, barzinhos flutuantes, uma pequena praia, a cerca de 15 anos atrás era um lugar tranquilo onde encontravamos os amigos amaravamos as embarcações curtiamos juntos um dia de sol, sempre regado a cerveja caipirinha e boa carne. Bom hoje o lugar esta muito cheio, normalmente mais de 100 lanchas disputam o pequeno espaço, sempre tem aquele sujeito que abusa no volume do som e tudo vira uma bagunça. Agora para juventude que procura balada o lugar é 10. Apenas eu que tenho família já procuro outro cantinho para parar. De carro o local também pode ser acessado indo em direção a Bombinhas logo que passar pelo iate clube pegue a rua a esquerda, são apróx. 900 mts, tem estacionamento e os barzinhos flutuantes oferecem translado partindo da Prainha do Caixdaço.","Porto Belo, SC",23,14 de novembro de 2016
5,Perfeita,"Praia perfeita, linda, porém para chegar só de barcos ou trilhas...mas é muito linda, a água é maravilhosa.","Esteio, RS",119,11 de novembro de 2016
5,Maravilhoso,"Ficamos apaixonados pelo lugar. Acredito que fomos na época certa, pois não tinha trânsito, e a praia estava belíssima.","Joinville, SC",3,21 de outubro de 2016
5,"Ótima praia, fácil de acessar a ilha de Porto Belo","Ótima praia, fácil de acessar a ilha de Porto Belo e com alguns passeios pra turistas. Boa pedida pra passar o domingo tranquilo...",Santa Catarina,100,17 de outubro de 2016
