rating,title,text,location,num_contributions,date
5,Praia tranquila,Pra quem gosta de tranquilidade. Ir com a família e crianças. Praia perfeita de paisagem belíssima. Ainda dá para conhecer molhes no farol.,,6,19 de janeiro de 2024
5,Praia 2022,"Amei essa praia, fui com namorado e amigos!! O dia estava bem ensolarado e curtimos muito lá,pretendo voltar lá de volta esse ano....",,4,2 de maio de 2022
5,belissima e gradavel,"praia de aguas relativamente tranquilas e com uma paisagem linda. o verde dos morros ao fundo, o molhe na lateral da praia contribuem para uma paisagem incrivel. tem estacionamento, banheiros e vestiarios e fica ao lado dos molhes.","Rio de Janeiro, RJ",103,6 de março de 2022
2,Um pedaço de areia,"A praia era apenas uma pequena faixa de areia, com um quiosque/bar/restaurante. Pelo tempo nublado, não oferecia nenhum atrativo.",Estado do Rio de Janeiro,641,29 de novembro de 2021
5,Linda surpresa!,"Estava em Itajaí e fui dar uma volta. Andei pela orla do rio Itajaí, e de repente, me deparo com o molhe e a praia da Atalaia. Que lugar incrível!  Praia pequena, mas muito agradável. Dá para ver a chegada e a saída de navios ao porto de Itajaí. Amei!","São Bernardo do Campo, SP",88,20 de junho de 2021
4,Praia bacana demais,"Fácil acesso e com uma leveza distanciada do muvuca de outras praias. Sempre caminhava pela manhã, aproveitando o alvorecer e a maresia boa.","Vilhena, RO",1,24 de novembro de 2020
5,òtima,"Praia tranquila ótima para levar criança, ambiente maravilhoso para curtir um dia de sol., Quiosques a bera mar, tudo lindo.",,1,14 de novembro de 2020
4,Linda praia.,"Orla maravilhosa. Vale a pena andar de bike. Parquinhos e locais para os pequeninos brincar. Itajaí possui praias melhores, mas não deixe de Conhecer a praia de Ataliba.","Belo Horizonte, MG",7,7 de março de 2020
5,Muito boa,"Praia muito boa, águas calmas, acesso é fácil e tranquilo... Super recomendo! Uma das que mais gostei em Itajaí","Santa Bárbara d'Oeste, SP",302,26 de fevereiro de 2020
3,Praia boa,Uma das praias de Itajaí com boas opções de restaurantes que atendem na areia . Acontece sempre um campeonato de surf que sempre anima a praia . Caminho de Cabecudas e praia Brava .,"São Paulo, SP",2,3 de novembro de 2019
4,Lindo e curioso,"Local muito bonito e legal para passear. Ao lado você tem acesso ao píer do farol (Molhes da Barra) onde consegue ver o Porto de Itajaí com mais detalhes e de vez em quando passam navios gigantescos, muito legal. Vale a pena.","Itajaí, SC",9,16 de julho de 2019
5,Tranquila,"Praia a cinco quilometros de Itajai,  Tranquila e limpa . Otima para passarmos o dia com crianças. Possui restaurantes e quiosques.","Itajaí, SC",9,3 de julho de 2019
3,Praia mais popular,"Haviam duas barracas com cadeiras e guarda-sóis, as refeições são de qualidade razoável. No canto da praia, haviam árvores e sombras. Há próximo um estacionamento, que se paga o valor desejado (sem taxa pré fixada). Nas ladeiras próximas à praia, os carros que estacionam são multados.",,264,23 de junho de 2019
4,Praia Legal!!,Achei legal este local... os quiosques ficam embaixo de árvores enormes que fazem uma ótima sombra  .. dá para aproveitar uma caipirinha e casquinha de siri // no mais a praia em si é um pouco pequena.. quando fui estava super cheia ... havia salva vidas no local,"Caxias Do Sul, RS",896,7 de março de 2019
4,Bom para caminhar,"A praia do Atalaia do município de Itajaí fica ao lado do Bico do Papagaio e a Praia de Jeremias . O lugar é bonito, limpo, possui boa pavimentação para caminhar e andar de bicicleta. É um lugar tranquilo para apreciar o mar. Seguindo o caminho pela orla chega-se a outras praias no local e dá para fazer uma boa caminhada entre as praias. Quando estive lá havia várias bandeiras vermelhas chamando a atenção dos banhistas para os perigos do mar.","Rio de Janeiro, RJ",98,23 de janeiro de 2019
3,Talaia,Lindo lugar...mas muito maconheiro usando drogas e cuidando pra fazer assaltos...destruiram a fechadura do meu carro no estacionamento pra tentar roubar minha bolsa. Graças a deus ñ conseguiram...seria um transtorno.,,2,20 de janeiro de 2019
2,Mal frequentada,"Se você não aprecia  o cheiro de maconha e a constante sensação de que poderá ser assaltado , evite este lugar tenebroso",,6,16 de janeiro de 2019
3,Normal,"Praia comum, sem muitos atrativos. Vale a pena passar andando por ela e ir até o bico do papagaio, depois curta a praia das cabeçudas que está ao lado","São Paulo, SP",10,9 de janeiro de 2019
5,Banho de Mar,Um delicioso banho de mar na praia da atalaia em Itajaí.  Passeio divertido com a família para aproveitar as férias.,"Brusque, SC",20,9 de janeiro de 2019
4,Boa!,"Praia tranquila pra vc que tem crianças porém aconselho a vcs levarem guarda sol, cangas, e curlers para bebidas, pois a praia  é pequena e só conta com 1 quiosque que fica muito longe da praia. Tem estacionamento amplo e seguro, e ainda conta com uns trailers de pastel e caldo de cana, além de sorvete.",,20,22 de dezembro de 2018
3,Praia muito bonita para fazer caminhadas. Possui muitos carros estacionados perto.,"A praia é bonita para fazer caminhadas, mas, mesmo fora de temporada, ficou lotada. O estacionamento é muito perto, fazendo com que tenha muito movimento de carros e as barracas de lanches atrapalham pois não tem um lugar definido, são espalhadas, ficam entre os carros e não são confortáveis para comprar e consumir ali.","Florianópolis, SC",82,26 de outubro de 2018
4,jogar uma pelada e curtir uma praia bem tranquila,"Atalaia é uma praia tranquila, tem boas ondas junto ao molhe e bem famosa no surf, tem também umas peladas a tarde, aguas rasas e tranquilas, boa para crianças. Valério Campos",,3,11 de outubro de 2018
4,Momento relax,"Adoro caminhar ...sempre que posso vou até as praias de Itajaí.  Lindo visual, além de um bom exercício tbm vale para relaxar","Itajaí, SC",90,2 de outubro de 2018
5,Praia maravilhosa,"Fui com minha mãe para este lugar incrível, lindo, charmoso, com um mar maravilhoso, pessoas gentis e amáveis. Adoramos conhecer.","Província de Mendoza, Argentina",20,27 de agosto de 2018
3,Praia OK,"Uma praia legal para se visitar. No geral limpa, com serviço de praia e com sorte voce poderá ver (e ouvir) um grande navio a caminho do Porto passar bem ao lado. Uma experiencia bacana!","Itajaí, SC",35,30 de julho de 2018
4,Paraíso do Surf!,"Praia famosa no cenário nacional do surf, moles da barra, areia branca, esportes de verão. Local para descançar, caminhar, andar de skate.","Itajaí, SC",36,11 de julho de 2018
