rating,title,text,location,num_contributions,date
5,Tarde na praia,"Local muito bom e aconchegante, preços ótimos de locação de guarda sol e cadeiras de praia.  Super indico!",,2,16 de janeiro de 2026
5,Pequena maravilhosa,"Praia bem pequena, com acesso por uma curta estrada de chão que qualquer carro consegue passar. Tem estacionamento público gratuito. O mar é calmo e com uma cor maravilhosa. Por ser pequena, a praia com pouca gente parece estar lotada","São Paulo, SP",1,20 de dezembro de 2025
5,Linda!!,"Ótima praia, ambiente familiar e com ponto de apoio para cadeiras e guarda sol. Tem q chegar cedo. Estacionamento pequeno",,1,19 de dezembro de 2025
3,Ok,"Gente, a Praia é maravilhosa. Porém, é deserta, e em fevereiro de 2025, tentaram roubar nosso carro, devido a ser retirada, quase não tem estacionamento, e com isso acabamos deixando na rua, que em volta é só mato, o que facilita muito para esses bandidos, graças a Deus não conseguiram levar o nosso, mas vale ressaltar, se forem cuidem muito.",,1,15 de fevereiro de 2025
5,Melhor praia de Penha,"Melhor praia de Penha (na minha opinião). Muito calma a água podendo relaxar, água cristalina dando pra ver o fundo do mar, lugar com um acesso só mas vale a pena, recomendo muito, além de tudo as fotos tiradas ali ficam muito lindas, muito legal o lugar.",,1,26 de outubro de 2024
3,Evitem a barraca da Rita.,"A praia em si é uma delícia, pequena e tranquila, com peixinhos e ondas tranquilas. A areia não é muito limpa. Evitem a barraca da Rita: quiseram cobrar a mais do q tínhamos consumido, gerando uma situação muito chata.",,4,11 de agosto de 2024
5,Praia,"Praia linda, porém afastada, se for de outro estado e não estiver de carro é arriscado , Uber não vai, cancela as corridas",,2,12 de junho de 2024
4,Praia da Paciência,"Pequena praia com acesso em estrada de chão localizada aos pés do morro da Vigia. No dia da visita, feriado de Páscoa, estava bem movimentada. Praia com águas tranquilas, ótima para crianças. Conta com banheiro químico público, comércio com venda  de petiscos e bebidas e aluguel de cadeiras e guarda sol. Formação rochosa frequentada por pescadores. Pequeno estacionamento público.","Curitiba, PR",2,30 de março de 2024
5,Águas cristalina e tartarugas dão um show,A praia é incrível! Águas claras e quente! Tartarugas são um atrativo para as crianças. É bem pequena a faixa de areia mas não estava lotada. Tem um senhor que aluga cadeira e guarda sol. Tem apenas uma tenda que serve porção muito caprichada e preço justo! Com certeza voltarei.,"Canela, RS",12,8 de fevereiro de 2024
4,Praia linda!,"Praia linda!!!! Pequena, 28m. A atração do dia foram as tartarugas. Há apenas um estabelecimento que vende petiscos e bebidas. O rapaz que aluga cadeira e guarda sol é muito simpático e proativo. Há lixeira separada para latas e lixo orgânico. Apesar de não ter banheiro vale conhecer!","São Paulo, SP",34,27 de dezembro de 2023
5,Praia da Paciência 2023,"Simplesmente Maravilhosa, paradisíaca, limpa, água quentinha, só é bem pequena. Experiência inesquecível ter estado nesta praia. Uma observação  não tem banheiros !!!",,2,14 de janeiro de 2023
3,Agradável.,"Praia tranquila. Água limpa. Não possui restaurantes próximos, mas existe um delivery disponível que entrega no local. Senti falta de lixos disponíveis na praia, então sugiro levar sacolas para trazer o lixo embora. Fomos com criança pequena (3 anos), tinha banheiro próximo. Porém não tem chuveiro na praia.",Santa Catarina,14,11 de janeiro de 2023
2,Praia deserta e cheia de lixo,"Praia suja e sem estrutura, havia muito lixo amontoado. Há apenas dois quiosques, o que seria ótimo pra quem procura sossego, mas os dois tinham música, barulho e muito lixo.","Osasco, SP",135,14 de dezembro de 2022
5,Ótimo lugar para passar o dia.,"A praia é pequena e calma, possui sombra no lado da praia, possui estacionamento público. Ainda com um excelente bar com bebidas e cervejas geladinhas",,6,11 de abril de 2022
3,Lindo paraíso,"Local muito bonito. Fiquei imaginando morar na beira da praia … Um paraíso … tranquilo, lindo Local ideal para relaxar .",,212,14 de março de 2022
5,Praia LINDAA!!!!!,"Praia de beleza natural exuberante. Linda, pequena, sem ondas. Parece uma piscina. O lugar é bem pequeno, como uma ilhazinha, mas e lindo!!! Agora conta com um quiosque. poucas opcoes de comidas e bebidas mas é barato. Lugar incrível!!! Amei ❤️",,16,11 de março de 2022
5,Uma experiência bora vida!,"Lugar com beleza indescritível.  Faz lembrar Angra. O ideal é ir dia de semana, pois no fim de semana é muito lotado. A praia é a menor do Brasil e conta com apenas uma barraca de apoio com lanches deliciosos e preço super acessível, sem falar da simpatia do seu Jô, o atendente mais atencioso que já conheci na vida! Se tiver oportunidade, conheça!","Mafra, SC",44,20 de fevereiro de 2022
