rating,title,text,location,num_contributions,date
5,Lugar apaixonante,"Sou apaixonada em Porto Belo porque mistura muita natureza, com muitas oportunidades de passeios, trilhas e pontos turísticos. Também conta com um Outlet, o mais famoso da América Latina e logo mais terá um Hard Rock Café. Imperdível conhecer…",,10,26 de outubro de 2025
4,Principal praia do município,"É parte da história da cidade, onde se tem um pouco do visual ainda charmoso de uma praia que será duramente castigada nas próximas décadas pela inevitável explosão imobiliária que já destruiu a vizinha Itapema e seus gananciosos incorporadores e clientes. Porto Belo ainda vale a visita, sempre na baixa temporada, onde o trânsito ainda é algo tolerável, apesar das poucas chances de entrada e saída da cidade. O píer, a praia central e o antigo Botequim Porto 27, compõe uma atmosfera vintage e ainda charmosa, merecendo uma visitação pelo menos uma vez na vida.","São Paulo, SP",12,5 de outubro de 2024
3,Bela paisagem,"Aproveitamos a ida para Bombinhas para conhecer um pouco da praia. Trata-se de um local bastante agradável e com uma bela vista, que sem dúvida vale a pena parar e conhecer","Sorocaba, SP",259,7 de agosto de 2023
4,Praia urbana!,"Porto Belo é passagem obrigatória para quem vai à Bombinhas e proximidades, mas Porto Belo merece uma visita. A praia é encantadora, mar azul, poucas ondas e um visual lindo com seus barquinhos ancorados. Desta praia saem muitos passeios de ""navios pirata"". Vale a pena conhecê-la.","Farroupilha, RS",34,21 de abril de 2023
5,Grande Experiência.,"Linda praia com aguas tranquilas, muitos barcos de pescas e ainda tem travesia para uma ilha proxima.","Florianópolis, SC",71,9 de abril de 2022
4,Porto realmente Belo,"Estive com um cruzeiro e as praias são muito bonitas e o preço dos comércios são muito bons, diferente de outras cidades turísticas.","São Paulo, SP",217,25 de dezembro de 2021
5,Praia linda,"praia linda cidade incrível, otimas opções para lazer além da possibilidade de fazer a travessia e passar o dia na Ilha de Porto Belo",,2,1 de outubro de 2021
5,Bonita e calma,"Linda praia de águas calmas, limpas e areia branca. O local passa uma paz agradável e suas águas permitem um banho seguro mesmo para crianças. Boa estrutura próxima com restaurantes e serviços de barco.","Rio de Janeiro, RJ",4,5 de junho de 2021
3,Bonito com tempo bom,"Praia Central da cidade é comum e menos movimentada que o entorno,mas com tudo que pode oferecer uma boa praia.",Brasil,5,13 de março de 2021
5,Paraíso,"Incrível lugar. Bem pequeno e convidativo. Tem uma pracinha com vários locais gostosos para comer e beber. Praia com a areia branca e muito tranquila. Muitas embarcações cercam o local, mas não atrapalham o banho de mar. Não deixem de conhecer a ilha de Porto Belo. É simplesmente incrível!! Local para famílias, para descansar e aproveitar o dia. O problema são os altos valores das poucas pousadas do local, o que inviabiliza e estada de mais um dia.","Brasília, DF",58,19 de janeiro de 2021
4,Bom local,"Local bem agradável, praia sem onda e bem tranquila, própria pra quem viaja com crianças, conta com banheiros e ducha","São Paulo, SP",113,17 de março de 2020
4,Praia do centro,"Ainda que seja uma praia muito urbanizada, até com uma passarela na sua parte boêmia, cheia de bares e restaurantes, ela é agradável por si só, de se localizar aonde está, e a caminhada noturna que dei ali foi revigorante, pé na areia é uma das melhores terapias que existe.","São Paulo, SP",4,9 de março de 2020
