rating,title,text,location,num_contributions,date
5,Para a família,"Praia calma. Perfeita para a família! Praia sem ondas, com exceção quando o mar está revolto. Recentemente foi instalado o salva vidas!","Penha, SC",56,23 de junho de 2025
1,Não indico,"A praia está extremamente suja, e o mar impróprio. A única barraca aberta não dá assistência nenhuma. Ficamos 1h sentadas e não recebemos nenhum tipo de atendimento, nem o cardápio",,2,17 de janeiro de 2025
4,Praia de São Miguel,"Praia com faixa de areia longa e  mar tranquilo. Precisa de mais atenção com o lixo, as praias de Penha infelizmente são abandonadas pela prefeitura...","Gaspar, SC",1,21 de julho de 2024
4,Praia boa pra criança,"Linda, gostosa e mar calmo. Mas virmos durante a semana e não tinha infra estrutura. Recomendo que tragam cadeiras. Mas tem algumas arvores que garantem a sombrinha.",,5,18 de setembro de 2023
4,"2014 - Penha, SC","Praia de São Miguel é bastante bonita contando com bastante vegetação marinha. Praia bastante pacata, uma opção legal pra quando não se está no parque.","Araricá, RS",197,2 de maio de 2023
5,Praia tranquila,"Praia tranquila, para relaxar, com banheiro público, barzinho, parquinho para crianças. Possui uma boa faixa de areia, mar bem tranquilo para as crianças, aluguel de stand up e caiaque. A vista é bonita, podendo ver Balneário Camboriú, Itajaí e Navegantes.","Joinville, SC",3,27 de janeiro de 2023
3,"Local bonito, mas infraestrutura fraca.","A praia carece de muita urbanização, e algo foi feito, mas ainda há muito a ser feito. Na falta da iniciativa do município, falta aos gestores municipais olhar mais para essa região.","Richards Bay, África do Sul",52,22 de outubro de 2022
5,Praia de pescadores,Lugar tranquilo. Praia de pescadores. Lugar tranquilo. Otimo pra ficar sentado e tomando uma cervejinha. Lugar parece uma peninsula. Apenas necessita de um pouco de cuidado do setor publico.,"Balneário Camboriú, SC",56,3 de fevereiro de 2022
2,Imprópria para banho,"Janeiro/2021- Cheiro forte de esgoto, água do mar cheira à camarão. Mar calmo, porém impróprio para banho.",,4,14 de janeiro de 2021
4,Praia de São Miguel,"Praia próxima do parque Beto Carreiro e das Pousadas e hotéis. Praia tranquila para a família, com bar perto que atende ao pública que passa o dia no local.",Paraná,91,3 de abril de 2020
5,Delícia,Praia maravilhosa e com uma bela vista. Mar bastante calmo e limpo. Possui infraestrutura e preços bastante em conta nos restaurantes.,"Salvador, BA",172,29 de janeiro de 2020
4,Esqueça a estrada...,"Até a praia a estrada é asfaltada, mas para chegar a bela vista no final do caminho você terá que passar por uma estrada de terra que não está em boas condições, mas vale a pena o esforço pois o panorama belo nos faz esquecer a estrada. Na praia tem a Peixaria Dona Bela que é o paraíso dos admiradores de peixes e frutos do mar, não esqueça de visitar e levar para casa produtos deliciosos.","Caxias Do Sul, RS",248,20 de março de 2019
5,"Aconchego, Familia!","Eu gosto muito dessa praia, praia de pescador com  barcos e arrastão de vez em quanto, a praia parece um rio, para as crianças são ótimas, tranquila, não tem esgoto.","Itajaí, SC",26,19 de março de 2019
5,"Temos vindo sempre à essa praia; mansa, sem buracos, sem repuxo, muito própria para crianças, para passeios de lancha.","Como é mansa, é muito própria para andar de lancha, jet sky, etc. além da possibilidade e facilidade de pescaria, tanto na sua enseada, como para pegar um barco e pescar em alto mar. Tem cabanas e chalés de aluguel (Cabanas São Miguel).",,7,13 de fevereiro de 2019
3,"Bonita, mas sem estrutura","A praia não conta com estrutura apropriada, está ainda ""engatinhando"" no turismo por ser praticamente só de pescadores. A praia é pequena e bem bonita. O mar é bem calmo, porém, conforme análises a água é imprópria para banho. Recomendo apenas visitar para tirar algumas fotos.","Erechim, RS",130,11 de fevereiro de 2019
3,"Pequena, vila de pescadores com pouca estrutura","Praia de São Miguel (ou Prainha), na divisa com Navegantes, vista de Navegantes, Itajaí, Praia Brava e Balneário Camboriú; acesso a essa praia é todo asfaltado; pequena, águas calmas e limpas com muitos barcos de pescadores; é uma vila de pescadores com vários mercados de peixe, alguns bares, restaurantes, chalés e campings; não tem calçadão. Tem 2 bicas à esquerda da praia - o pessoal do bairro diz serem potáveis. Do lado esquerdo, tem a Casa do Padre. Aí começa uma trilha bem marcada que vai dar no costão, com belo visual da praia. Da Praia de São Miguel, saem duas trilhas distintas, uma para a Praia da Galhetinha e outra para a Galheta, mas não são sinalizadas, nem demarcadas. Aconselhável ir com guia ou alguém que conheça bem a região","Taubaté, SP",1,27 de janeiro de 2019
3,DESPREPARADA PARA ALTA TEMPORADA,"De longe, local realmente bonito. Quase que uma baía. Dá para ver Navegantes, Itajaí e até Camboriú.  Águas tranquilas e praticamente sem ondas. Faixa de areia larga. De perto, começam os problemas. Falta infraestrutura.  Acesso complicado para carros. Ruas muito estreitas. Há dois pontos de saída de águas pluviais. Acredito que até esgoto saia, uma vez que há um cheiro característico no ar. Pena que não tirei nenhuma foto para mostrar a muvuca que é nos dias de grande número de banhistas. Não recomendo.","Campo Mourão, PR",1,18 de janeiro de 2019
5,Praia de São Miguel,"Praia limpa com amplo espaço de areia. O mar é calmo, dando bastante liberdade para as crianças se divertir. Os restaurantes tem atendentes que levam seu pedido até você. Tem lugar para alugar Kaiak e Stand Up Paddle.","Blumenau, SC",55,2 de janeiro de 2019
5,Praia de descanso e apreciação de belas vistas!,"Praia calma, com barcos de pescadores ancorados que transformam a paisagem num lugar paradisíaco. O som do mar,  o nascer do sol por trás da montanha e a sorte de poder ver botos e tartarugas elevam o lugar a perfeição.","Curitiba, PR",5,18 de outubro de 2018
4,Uma bela visão  por trás dos montes,"Ao transpor a pequena colina, você vai se deslumbrar com o lindo visual desta praia que se descortina junto a linha do horizonte em comunidade de origem açoriana. Alguns bares e restaurantes podem ter um volume excessivo de música de má qualidade principalmente durante a temporada, mas a visão vale qualquer foto.","Florianópolis, SC",91,13 de julho de 2018
