rating,title,text,location,num_contributions,date
5,Calmaria,"A calmaria dessa praia é incrível, parece até um lago, poucas ondas, extensa faixa de areia, fica ao lado do forte com incríveis paredões de pedra e muito verde.","Lajeado, RS",1,3 de janeiro de 2026
1,Cidade suja e desorganizada,"Praia bonita porém suja e peguei doença de pele, cidade muito suja e desorganizada para turismo, ruim de estacionar, trecho de praia pequeno, transporte por aplicativos escasso e valor abusivo até o local","Curitiba, PR",71,31 de março de 2025
4,Calmo para Crianças,"Estacionamento em rua, difícil encontrar em temporada, acesso à praia acessível para cadeirantes, banheiros no local, praia limpa e segura, o mar é relativamente longe, ideal para famílias, mar calmo, água limpa e local próximo para refeições.","São Bento do Sul, SC",108,8 de fevereiro de 2025
4,Dicas de São Francisco do Sul.. algumas dicas,"É um lugar ideal para descansar. O Centro histórico tem atrativos sem igual. Para quem vai de carro precisa ficar atento porque encontramos, apenas, dois postos de combustível que têm Etanol. Outra dica é que alguns restaurantes só funcionam de 6a a domingo. O comércio, de modo geral, fecha para almoço. Então se pretende comprar souveniers fique atento ao horário. Algumas praias, em função do porto, não são próprias para banho. A ilha é bem movimentada e a estrada não oferece pista dupla e o que pode ocorrer é que aos finais de semana o transito aumenta muito o que dificulta, um pouco, o acesso às praias. As melhores praias ficam a 25 km, aproximadamente, de distância do Centro Histórico. Dependendo do lugar que for se hospedar fique ligado nesta dica. Do restante... relaxe e aproveite!","São Paulo, SP",8,13 de março de 2024
5,Local histórico,"Local fantástico, água limpa, águas super tranquilas,  natureza preservada. Museu à céu aberto da antiga fortaleza. Área sob administração militar.",,6,12 de dezembro de 2023
5,Praia do FML,"Excelente local, especialmente para crianças. Durante a maré baixa pode-se caminhar mais de 100 metros com água abaixo do joelho.","Brasília, DF",19,18 de abril de 2023
5,Tudo maravilhoso,"Lugar maravilhoso , principalmente prainha, ensaiada e praia grande, bastante restaurantes pra comer, com variedades de alimentos , muito bom",,1,15 de outubro de 2022
4,Tranquilidade em junho.,"Um dos lugares mais tranquilos que visitei em Santa Catarina. Natureza exuberante, águas tranquilas, local de pesca e trânsito de navios. Superindicado.","Porto Alegre, RS",13,28 de julho de 2022
4,Extensa faixa de areia,"Uma praia com extensa faixa de areia e um mar muito cristalino. Perto da encosta (morro) há alguns pontos de sombra. Fora deles, não localizei nenhum ponto de sombra, apenas o próprio guarda-sol de cada família. Também não existe estrutura de quiosques e então é bom levar seus alimentos e bebidas para passar melhor o dia por ali.","São Paulo, SP",2,29 de março de 2022
5,vale a pena,"todo ano vamos a São Francisco e visitamos a praia do forte, apesar de não ter estrutura de banheiros, a praia é otima, limpinha, especialmente para quem não curte praia com ondas e vai com crianças, super recomendo","Altônia, PR",160,15 de janeiro de 2022
5,Entre a natureza e o mar,"Estacionamento fácil, mas se estiver lotado, tem a opção de estacionamento pago a R$ 15.00. Aproximadamente 25Km de São Francisco. Tem poucos visitantes nessa época, muito limpa e o único som era o barulho das ondas do mar. De um lado a arquitetura histórico do Forte ao fundo, do outro a imensidão do mar. Perfeito para passar o dia se você estiver preparado.","Curitiba, PR",117,25 de outubro de 2021
4,Muito bacana,"Praia bem vazia, próxima à unidade do Exército no Forte Marechal Luz. No verão deve ser bem difícil para estacionar, pq há pouquíssimas vagas. A praia é muito boa e o mar bem calmo !","Curitiba, PR",244,26 de abril de 2021
5,Tem que ir,"Praia Natureza energia boa do lugar. Limpeza, segurança, tranquilidade e muita beleza para se ver e aproveitar. Da pra deslumbrar","Taubaté, SP",41,20 de março de 2021
4,Limpa e encantadora...,"Praia afastada aproximadamente 25 km do centro da cidade, fácil acesso de carro,  sossegada, limpa , boa faixa de areia, ao lado do Forte Marechal  Luz ( Museu Militar ),  vale a pena conhecer.","Lins, SP",196,17 de outubro de 2020
3,"Bonita vista, aguas aparentemente tranquilas","Passamos em frente, quando fomos ao forte. Não é das mais bonitas, mas parece um lugar tranquilo para levar a familia.","Curitiba, PR",801,29 de setembro de 2020
5,Novo ano novas perspectivas,Conhecer nossa região é tudo de bom. A vista é linda e o mar azul e ensolarado torna nossa vegetação deslumbrante.,"Indaial, SC",517,14 de junho de 2020
