rating,title,text,location,num_contributions,date
5,Vista maravilhosa,"Praia calma, sem muito movimento e quase sem ondas. Tem quiosques e bares, ideal para um fim de tarde e para curtir o pôr-do-sol do trapiche ou da prainha do Cascalho. Da praia, que é uma enseada, é possível observar o centro de Penha e, à distância, o Balneário Piçarras. As luzes dos barcos de pesca atracados à noite proporciona um espetáculo aparte. A água é imprópria para banho, mas há muitos banhistas pela extensão.","Porto Alegre, RS",14,20 de fevereiro de 2025
3,Vá e tire uma foto,Excelente ponto para se tirar uma foto. Local ao redor estava meio escuro a noite. A praia estava imprópria para banho VAle uma visita rápida e só.,"São Paulo, SP",562,18 de fevereiro de 2024
3,Praia suja e muitos barcos,"Imprópria para banho, mas mesmo assim arriscamos. Tem muitos barcos. Areia super suja, tinha tudo quanto é tipo de lixo... Realmente uma pena. Não ficamos muito tempo, então não sei dizer sobre a estrutura da praia. Fui com meu marido, 2 filhos adolescentes e 2 filhos crianças. A areia é branca e fofa e as águas calmas.","Campinas, SP",16,11 de fevereiro de 2024
3,Trapiche!,"A Praia do Trapiche é simples, mas tem um belo visual. O lugar é tranquilo, arborizado, tem uma estreita faixa de areia, águas calmas propícias para a prática da pesca ou esportes aquáticos.","Farroupilha, RS",34,26 de agosto de 2023
3,"2014 - Penha, SC",Praia razoável e uma opção interessante pra quem irá passar uns dias no Beto Carrero. Algumas partes não são próprias para banho mas é uma boa praia ainda assim,"Araricá, RS",197,2 de maio de 2023
3,Pôr do sol espetacular,"Paisagem linda, com diversos barcos atracados e vista para outras prais. Fomos ver o pôr do sol e depois jantar no restaurante Be Happy. Valeu a pena! Não recomendo ir para banho.","Paulínia, SP",43,3 de abril de 2023
4,Passeio maravilhoso,"Muito linda a praia,estava com pouco de lixo espalhado pelos turistas mal educados,pessoas educadas e prestativas da cidade muito simpáticas,o guarda até me ajudou a pedir um uber particular amigo dele,porque não estávamos achando motorista  no aplicativo,experiência linda.",,32,28 de março de 2022
5,"Linda praia. Uma das mais bonitas que já vi na vida, com barcos ao fundo.","Uma praia realmente linda, com bela paisagem com os barcos ao fundo e água cristalina. Ela tem algumas pedras na areia debaixo d'água, e por esse motivo não é tão recomendável para crianças, mas realmente a paisagem é de tirar o fôlego. Uma praia sem pedras ao fundo é a que fica ao lado dela, a praia de Armação, que tem poucas ondas também, assim como a do Trapiche.",,125,4 de março de 2022
1,Praia muito suja,Penha na verdade não agradou a praia muito suja nem parece ser sc fui no parque mais pura decepção com a praia pior praia q visitei,,2,19 de fevereiro de 2022
4,Opção de praia para Crianças em Penha,"Praia calma, sem ondas, com faixa de areia estreita, porém com muita sombra natural (árvores) e infraestrutura de bares e vendedores ambulantes. Excelente para crianças pequenas","Rio de Janeiro, RJ",41,24 de janeiro de 2022
4,Lugar bonito e agradável,"Praia de mar com águas claras. É  possível observar tartarugas na tona da água. Águas calmas, bom para crianças.","Rio de Janeiro, RJ",63,2 de novembro de 2021
5,"Famos eu e meu esposo,ótimo lugar","Curtir o clima,praia com barcos,linda.otimos lugares pra ir.calma.e romântica.proximo de outras atrações.enfim super indico . vale a pena.",,3,27 de outubro de 2021
4,PESCADORES A VISTA,"Outra praia super calma de Penha. A vejo mais para pescaria do início do dia ou fim de tarde. Muito bom passar um tempinho, olhando o mar e pensando na vida!","Ribeirão Pires, SP",143,12 de junho de 2021
