rating,title,text,location,num_contributions,date
4,Lindas águas,"Lugar lindo,  água com cor incrível.  Ponto negativo foi a quantidade de lixo que encontramos boiando, aparentemente a tendência é que a maré traga lixo que talvez nem sejam dessa praia mas acaba acumulando nessa praia. O bar é pequeno mas tem um cardápio ok., mas tudo frito. Necessário pagar estacionamento que pode chegar a 50 reais.","Indaiatuba, SP",361,6 de março de 2022
5,Praia linda,"Praia linda, mar calmo que não dá vontade de sair da água. Tem uma pequena estrutura com restaurante e estacionamento. O estacionamento é pago, oferece chuveirinho na rua e banheiro. Importante avisar que eles não aceitam cartão no pagamento do estacionamento, só dinheiro. E o valor varia de 30 a 50reais a diária(depende se é dia de semana oi fds). O restaurante oferece alguns petiscos e tem um cardápio não mto variado, mas da pra passar o dia. Os valores são os mesmos que a beira da praia da região, nada mto exorbitante. Tb vi que eles alugam cadeiras e guarda-sol","Porto Alegre, RS",5,4 de fevereiro de 2022
5,Prainha deliciosa,"Prainha deliciosa, com estacionamento e bar. Mas fomos a pé do Refúgio até lá ( cerca de 1 km ), e foi bem legal. Familiar, não tem muvuca. Só banho de mar e contemplação da natureza.","Ilhabela, SP",7,12 de janeiro de 2021
4,Agradável,"Praia pequena, muito bonita e agradável. Poucas pessoas no local e quase sem infraestrutura. Difícil acesso, em virtude da estrada. E o valor do estacionamento era bem salgado pelas condições do local. Mas vale a pena conhecer o local.","Passo Fundo, RS",21,26 de fevereiro de 2020
5,gostei,"boa praia, limpa, cristalina com pouca onda, tem a opção de pagar estacionamento ou largar o carro na estrada um pouco antes do estacionamento. pra quem larga o carro  na beira da estrada tem um acesso por uma trilha de 10 minutos mto bonita.. é uma decida tipo uma escada.. bem traquilo fazer a trilha... tem um quiosque lá, paguei 40 reais numa porção de peixe pra duas pessoas.","Porto Belo, SC",4,24 de janeiro de 2020
5,Muito legal!!,"Praia tranquila, com uma pequena faixa de areia. Há um caminho por trilha, e uma opção de descer de carro até um estacionamento (pagamos 25,00). Se você está com alguma Parafernalha, ou crianças, recomendo pagar os 25,00 do estacionamento. Vale a pena.","Criciúma, SC",43,16 de janeiro de 2020
4,"Praia de areia firme. a água do mar límpida e ondas que não nos arrastam,Mar seguro.","Estive no início de janeiro de 2020. passei todo o dia, com a família. Informo que não acreditem na palavra do rapaz que fornece cadeiras e barracas, disse-nos que o que foi pago seria descontado na consumação da lanchonete do local., Nada foi descontado. Fora esse engodo, a praia é excelente. Já havia ido lá no verão passado e retornarei.","Curitiba, PR",33,16 de janeiro de 2020
5,Bela praia,"A praia do ESTALEIRINHO de porto belo tem acesso por uma trilha pela mata . Trilha acompanha um condomínio de casas. Não é fácil pois escorrega devido umidade da. Mata. O condomínio libera estacionamento na temporada de verão,porem cobra . Praia pequena, super limpa . Tem uma barraca / lanchonete do condomínio que atende a praia em geral. Aceita cartão de crédito.","São José dos Pinhais, PR",6,15 de janeiro de 2020
3,Boa praia pra quem estiver disposto a conhecer,A praia do estaleiro tem uma água muito linda com ondas bem tranquilas pra quem for banhar. A área de praia em si é um pouco pequena podendo ficar bem lotada em algumas épocas do ano. Ela fica um pouco afastada da cidade de Porto Belo passando por estradinhas bem estreitas porém com uma vista bem bonita. O local tem estacionamento pra carro e na minha visita o valor era 25 reais pro dia todo.,"Timbó, SC",2,3 de janeiro de 2020
5,Praia estaleiro,Lugar paradisíaco lindo espetacular e tranquilo para descansar com a família e filhos lugar maravilhoso,"Mafra, SC",14,14 de dezembro de 2019
5,Estaleiro,"A praia é  linda, limpa, água cristalina, mar calml, com muito sossego, à também um trapiche no qual você pode pular. Ótimo para passar um domingo","Itapema, SC",130,23 de novembro de 2019
5,Um primor de praia,"Aguas límpidas num  pequeno espaço charmoso de praia, apenas um local para atender pedidos de bebidas e petiscos e nem sempre encontra-se aberto, portanto, vá preparado com suas necessidades pois poderá náo encontrar nada disponível no local, e também preparado para uma trilha até a praia com boa inclinação, e com boa disposição e saúde chegará sem maiores dificuldades...Tendo sorte, e conforme a vontade do zelador local, poderá encontrar o estacionamento aberto o que facilita o acesso.","Porto Belo, SC",7,8 de maio de 2019
5,Praia do Estaleiro Porto Belo SC,"Uma praia paradisíaca de águas cristalinas, um local tranquilo e maravilhoso! possui quiosque de praia e estacionamento, ideal para banhos de mar, prática de esportes á remo, mergulho de contemplação.","Porto Belo, SC",18,7 de maio de 2019
5,Maravilhosa,Uma das mais belas praias do litoral Catarinense. Aguas límpidas e pouquíssimas ondas.frequentada por famílias. Possui restaurante que serve na praia.,,15,19 de março de 2019
5,Lindo lugar,"O difícil acesso é compensado totalmente pela linda natureza. Água verde, pouca gente. Estacionamento privado oferecido por vizinhos.","Capão da Canoa, RS",10,16 de março de 2019
1,Luto,"A praia infelizmente, deixou de ser um local pra descansar,  pois com tantas divulgações o lugar infestou de gente! Parem de divulgar lugares calmos pra encher de gente barulhenta e mau educada!","Joinville, SC",23,25 de fevereiro de 2019
5,Melhor Praia,"Fomos a bombinhas passar a semana, e no último dia fomos a porto belo visitar uma praia diferente, apesar da estrada ruim para chegar até a praia do Estaleiro, a praia é surpreendente, muito bonita, mar calmo, o bar que fica anexo à praia (apesar de não aceitarem cartões) é muito bom, comida boa, bebida pra todos os gostos e os atendentes bem divertidos e atenciosos! Recomendadíssimo a praia do Estaleiro, como disse no título nos surpreendeu e ficou como a melhor praia da viagem, pra fechar com chave de ouro!","Bombas, SC",24,15 de fevereiro de 2019
5,Praia do Estaleiro the best,"com certeza a praia que surpreende em beleza, e quando esta vento sul então é paraíso total, mar fica daquele jeito que você não quer ir embora ...Vale muito conhecer e desfrutar deste local privilegiado dentro do município de  Porto Belo. passeio imperdível. volto sempre !",Santa Catarina,36,13 de fevereiro de 2019
5,Incrível,"Vale o dia e o passeio, água cristalina, peixes nadando ao redor, um restaurante com comida saborosa e uma paisagem exuberante.","Santo Ângelo, RS",24,12 de fevereiro de 2019
5,Lindo Lugar,"Muito linda a praia, água cristalina, mar manso, lugar tranquilo com a família e crianças. Estacionamento R$ 20,00 a diária. Não tem muita estrutura, mas possui um restaurante com preços acessíveis, servindo na praia, atento que só aceitam dinheiro. Bem próximo tem um trapiche, onde mergulhamos com as crianças. Vale muito a pena. Recomendo!!!","Itajaí, SC",31,11 de fevereiro de 2019
5,Linda Praia,Linda Praia. Lugar preservado e com acesso fácil através do estacionamento particular   que há no local. 20 reais.  Mar calmo e água clara. Vale a pena conhecer.,"Blumenau, SC",52,1 de fevereiro de 2019
5,Linda praia... natureza exuberante mar azul,"Praia de aguas cristalinas. Mar tranquilo, excelente para banho. Paisagem muito linda. Tem 1 bar de apoio. Não servem refeições, so petiscos e lanches. Os Camarões estava deliciosos! Preços menores que na regiao. Atenção Só aceitam dinheiro. Estacionamento 20 reais. Aluguel guarda sol e cadeiras 30. Faltou uma ducha de agua doce! Mar muito bom para crianças pequenas! Raso e tranquilo. Considerada a praia/agua mais limpa da regiao. Vale muito a pena conhecer","Brasília, DF",47,24 de janeiro de 2019
5,Point reservado bom para o mergulho,"Localizada no final da estrada que leva às parias de Bomas e Bombinhas, a Praia do Estaleiro só é acessível descendo uma picada na mata com certa dificuldade. Isso favorece o seu isolamento, que garante a integridade de suas características.","Rio de Janeiro, RJ",21,22 de janeiro de 2019
5,Lugar Maravilhoso,Experiência linda! Praia limpa! Agora com facilidade de acesso por um estacionamento particular (20 reais a diária)! Vale a pena conhecer!!,"Umuarama, PR",21,13 de janeiro de 2019
4,Praia tranquila,"para acessar a praia temos duas opções , por uma trilha ingrime que para voltar cansa um pouco porem tem outro acesso para carros com local para estacionar, a aparaia é limpa e tranquila uma boa opção em Porto Belo","Campo Bom, RS",68,9 de janeiro de 2019
5,Melhor Praia da Região,"Sem dúvidas, a melhor praia da região. Agua verdinha, limpíssima e areia fininha bem branca. Para acessar à praia é necessário passar por uma propriedade particular. A pé acho que não tem custo, mas para estacionar o carro lá dentro, custa R$20,00/dia. Vale a pena.","Curitiba, PR",133,20 de novembro de 2018
