rating,title,text,location,num_contributions,date
4,Boa praia,"Praia bem tranquila, ótima para levar crianças, pouco comércio. Tem salva vidas, banheiro público. Em um bairro calmo.",,1,15 de janeiro de 2026
5,Praia Show,"Praia linda, mar azul, areia limpa, lugar não tão lotado, vista da areia linda também. Vale ressaltar que tem banheiro público, outras praias próximas não tem.","Lajeado, RS",1,3 de janeiro de 2026
4,Praia oceânica de agua transparente,"Uma praia gostosa, de ambiente familiar, agua límpida e areia perfeita para longas caminhadas. Entre um costão verde exuberante e as rochas que lhe dão nome.",,278,28 de janeiro de 2024
5,Maravilhosa,"Muito bom, foi acima do esperado, gostamos muito, estávamos com medo que o mar fosse muito agitado, mas estava bem tranquilo durante toda a semana que estivemos ali. Superou as expectativas. Sem contar com as areais monalíticas.","Dois Vizinhos, PR",628,13 de dezembro de 2022
4,Maravilhosa,"Praia linda, limpa e tranquila, por isso escolhemos para essa época do ano. Ideal para um descanso em família. Se você quiser descansar e aproveitar o mar é perfeito. Tem opções de comércio e restaurantes bons. Gostamos muito.","Curitiba, PR",117,25 de outubro de 2021
3,Boa diversão,Das praias menos cheias de São Francisco do Sul. Mar com ondas. Ideal para famílias. Poucas opções de bares/restaurantes.,"Curitiba, PR",244,26 de abril de 2021
3,Semi-urbana,"Da sequência Enseada-Ubatuba-Itaguaçú, esta é a mais distante do agito de Enseada, por isso mais tranquila e menos muvucada.","Curitiba, PR",801,1 de outubro de 2020
5,Um pequeno paraíso!,"Uma Praia linda, com águas transparentes e gente bonita! Já tem uma boa estrutura de restaurantes, bons pratos de frutos do Mar. Não tem muita vida noturna, pois a Enseada é muito pertinho..","Joinville, SC",14,17 de fevereiro de 2020
4,Bela praia!!,"Achei essa a praia mais bonita da cidade. Embora bem menor que a Praia Grande, é bem vasta, ótima pra uma caminhada, limpa, água tranquila, faixa de areia ampla, local muito agradável.","São Paulo, SP",1,14 de fevereiro de 2020
5,Praia tranquila,"Pra você que quer sossego. Água cristalina e com uma temperatura bem gostosa. Leve suas cadeiras e guarda sol, não vimos barracas que oferecem, só vimos quatro que vendem comidas e bebidas simples.","Joinville, SC",1,9 de fevereiro de 2020
4,"Bonita, mas duvidosa","A praia é linda, o mar tem uma temperatura agradável, o local é seguro e os quiosques são bons, com preço justo. Ela fica em uma região residencial muito bonita, cercada por casas de alto padrão. A única ressalva é que alguns esgotos desaguam no mar. Conversamos com a equipe que limpa a praia e eles disseram que aqueles canos não eram de esgoto, eram apenas de água pluvial que tinha sido pichados com a palavra ""Esgoto"" por alguém mal intencionado. Como não tínhamos certeza sobre essa informação, ficamos com um pouco de receio de entrar no mar, acabamos escolhendo locais mais afastados dessas saídas, mas isso não atrapalhou muito a experiência.","São Paulo, SP",21,9 de janeiro de 2020
5,A melhor praia de SFS,"È a melhor praia de SFS, no verão ainda se consegue um bom espaço para aproveitar o dia. Pena que o esgoto clandestino nao ajuda nos dias lotados.","São Francisco do Sul, SC",7,9 de outubro de 2019
5,Grande praia,"O acesso é feito por vários outros acesos é uma praia grande , e com muitos estacionamento pela orla.","Piçarras, SC",22,6 de outubro de 2019
3,Verão 2019,"Fim de semana para conhecer. Praia limpa. grande extensão de areia, mar calmo... Vale a visita para conhecer e dar uma bela caminhada.","Guaratuba, PR",303,7 de agosto de 2019
5,Dias felizes,Praia com ondas calmas e areia fina. Sem muita badalação e própria para famílias. Rochas magnificas para escalar e fazer caminhada,,1,18 de abril de 2019
5,Viagem a São Chico,Lugar lindo me hospedei em frente ao mar no Recanto da Val lugar maravilhoso e com custo benefício otimo lugar tranquilo e calmo falta comercios na região,"Borrazópolis, PR",18,26 de março de 2019
5,Melhor praia da região,"Praia familiar, super tranquila, ondas no tamanho certo e limpa (pelo menos qdo estive lá). Ótima para caminhadas. Adoro.","Lucas do Rio Verde, MT",157,26 de março de 2019
3,Aqui a atração são as corujas!!,"Pouca estrutura para o visitante, a não ser postos de salvamento dos bombeiros e alguns poucos quiosques, que nem sempre estão abertos. Uma sorveteria ajuda a refrescar, no calor do dia ou da noite. Recomendo o passeio noturno, a dois, à beira mar. Muito romântico e com muitas corujas!!","São Paulo, SP",98,9 de março de 2019
5,Mto boa!,"Me hospedei em frente a essa praia e fiquei encantada! Mar super tranquilo, areia grossa e com poucas pessoas.","Taboão da Serra, SP",11,6 de março de 2019
3,A dificuldade é chegar e sair...,"Praia linda, talvez com ondas muito fortes para a maioria das pessoas, mas que merece a visita. A dificuldade fica por conta do ir-e-vir... A estrada que liga São Francisco aos balneários não é duplicada e os engarrafamentos são constantes...","São Francisco do Sul, SC",1,27 de fevereiro de 2019
4,Praia bonita e tranquila,Como fui durante semana a praia estava bem vazia (ainda bem!). A praia tem postos de salva-vidas com duchas de água doce. Diferentemente das praias do rio e são paulo não existem quiosques com cadeiras na praia e passam poucos vendedores. Um ótimo lugar para quem busca tranquilidade!,"São José do Rio Preto, SP",158,25 de fevereiro de 2019
4,Praia mais afastada,"Essa praia aparenta ser um local privado, cheio de casas, calçamento em paralelepípedos e não asfalto. Diferente da praia da enseada. O mar quebra muito na praia, portanto, a água não é tao calma para banho, especialmente com crianças. Aqui rola surf","Barreiras, BA",78,5 de janeiro de 2019
5,A ver Navios,"entre a praia do Forte e  Ubatuba esta a praia azul de ITAGUAÇU Lugar sossegado, limpo,aguas claras e areia branca... hoje tem uma estrutura consideravelmente boa .com bombeiros  e chuveiros .TEM BARZINHO E LANCHONETE PROXIMO.,E um lugar muito agradavel  para familias e casais.Mar manso   e por la,proximo,  passam grandes navios para serem apreciados..","Porto Velho, RO",194,12 de dezembro de 2018
3,Deserta,"Quando fui estava deserta. É uma praia junta da Ubatuba, bastante confortável de ficar, possivelmente valendo a visita no verão, mas não vi restaurante na orla.","Cabo Frio, RJ",32,23 de outubro de 2018
4,Praia limpa.com águas agitadas,Bem ao lado da praia do forte. Possui uma estrutura razoável. Salva vidas e chuveiros de água doce. Bares e restaurantes a Beira mar.,"Joinville, SC",996,28 de setembro de 2018
5,Otima praia,Praia muito boa para banho água bem limpa e pouco movimentada excelente lugar pra passar o dia apesar de não possuir bares e lanchonetes proximos,"Guaramirim, SC",40,4 de maio de 2018
4,"Água limpa, praia tranquila e bem frequentada. Ideal para famílias.","Água limpa, praia tranquila e bem frequentada. Ideal para famílias. Fora de temporada pode parecer muito deserta.","Curitiba, PR",95,11 de janeiro de 2018
5,Viagem de férias.,"Praia de Águas claras e muito limpas, areias bem finas e muito limpo. Tem bons espaços de lazer e não é muito tumultuada de pessoas. Ideal para família com crianças.","Indaiatuba, SP",56,11 de janeiro de 2018
4,Surf e pesca,"A Praia de Itaguaçu situada entre o Morro João Dias e o Balneário de Ubatuba, com aguas agitadas é um belo point para os praticantes de surf, sendo também muito adequada á pesca de arremesso.","Maringá, PR",532,28 de dezembro de 2017
4,"Linda praia, mar mais forte","A praia é mais distante, o que a torna menos movimentada. Há muitas casas próximas, mas a estrutura opções para comer são poucas. Muito boa para um passeio sossegado fora de temporada, mas o mar é bem agitado e precisa ter atenção com as correntes de retorno.","Joinville, SC",78,13 de dezembro de 2017
3,"Praia tranquila, das famílias","Esta é uma praia muito tranquila, tanto pela frequência, essencialmente de famílias, como por suas águas e orla.","Joinville, SC",79,10 de dezembro de 2017
5,Adorei,"Praia de fácil acesso. Dá pra estacionar o carro bem perto da água. Não precisa de trilhas nem nada. Ambiente residencial, famíliar e tranquilo. Mar limpo e não muuito agitado. Recomendo que levem comida e água, porque lá não tem quiosques. Não é uma praia muito turística.",,3,28 de novembro de 2017
5,Praia calma e tranquila para caminhar,Praia muito limpa e calma para caminhar e relaxar. No final tem o paredão de pedras que da para tirar várias fotos. Da para ver grandes embarcações cruzar o mar.,,3,2 de agosto de 2017
4,"Praia tranquila, casas belissimas","A Praia possui um bom calçadão, própria para banhistas. Boa faixa de areia, plana, ideal para caminhadas. Muito agradável e boa para todos os públicos! Os costões que se avistam nas duas pontas da praia são belíssimos, e ver os navios passando dá um charme especial. É uma praia bem residencial com linda casas sem restaurantes.","Praia Grande, SP",1,3 de julho de 2017
