rating,title,text,location,num_contributions,date
5,Lugar maravilhoso,"Lugar ótimo para se visitar e curtir uma praia, tem que tomar cuidado, o mar é agitado com ondas fortes. O Mar é muito limpo.","Itajaí, SC",55,5 de junho de 2019
5,Perola da BRAVA de Itajai!!!,"Fica bem no canto da Brava Norte. Só tem ascesso de carro por cabeçudas, mas se quiser ir de bike ou a pé tem uma ponte que liga a Brava Beche!!","Curitiba, PR",305,18 de janeiro de 2019
5,Canto da praia brava,Este canto da praia brava é bem tranquilo e agradável para quem não quer muita muvuca. local com boas ondas para quem surfa,,15,30 de dezembro de 2018
5,Um sossego de praia,"Visitar o canto do morcego pela manhã é fantástico! Para quem gosta de praia, natureza e sossego é o local ideal. Natureza intocada, trilhas, mar bravo mas claro e limpo, otimo para os amantes do surf.","Itajaí, SC",104,31 de julho de 2018
5,Natureza intocada,"Praia de mar agitado e águas claras que concentra adeptos do surf da região, natureza intocada, quem vai caminhar na praia Brava vale esticar até a praia do Morcego, mas cuidado com a maré.","Itajaí, SC",36,20 de junho de 2018
5,Ponto turisco a ser visitado,A vários movimentos pra impedir grandes construções nessa praia. Então sugiro que aproveitem enquanto a natureza ainda esta sendo preservada.,,22,31 de maio de 2018
5,uma das praias mais lindas da região,"visitar o canto do morcego pela manhã é fantástico, uma praia encantadora com opção para surfistas, vias de escalada em rocha, um visual alucinante com acesso através da praia de cabeçudas por uma estradinha muito bonita,",,31,29 de maio de 2018
4,Curtindo a vida,Muito bom para curtir a natureza e dar aquela descansada. Indico a todos que gostam de curtir a natureza e encontrar os amigos.,"Itajaí, SC",45,4 de março de 2018
5,Maravilhoso!,Local com uma beleza natural incrível. Mar com águas limpas e agitadas. É para quem gosta de praia com ondas. Ótima opção para passar o dia em uma praia com poucas pessoas.,"Itajaí, SC",52,24 de janeiro de 2018
4,lugar calmo,"A praia do morcego ou canto do morcego, é ideal para relaxar ou fotografar casais pois sua paisagem é muito romântica,quando a maré esta baixa é possível passar de um lado da pedra e explorar o chamado canto do morcego refugio dos surfistas.",,36,9 de outubro de 2017
4,Tarde maravilhosa,"Local agradabilíssimo. Minhas filhas adoraram a praia e, principalmente a lagoa que se forma até que o rio transborde e chegue ao mar.",,7,9 de agosto de 2017
5,Local lindo,Um local lindo .. praia perfeita .. natureza ainda preservada .. a única coisa que poderia ter mais segurança ainda mais a noite,,29,13 de julho de 2017
5,LINDO,"Uma das melhores lugares de itajaí, porém é muito perigoso devido à não ter muita gente pq o lugar é longe.","Itajaí, SC",5,14 de abril de 2017
5,Salve o Canto do Morcego \o/,"Um dos lugares mais bonitos e imperdíveis de Itajaí! Esta praia se localiza ao norte da Praia Brava e recentemente só temos acesso durante a maré baixa(trilha fechada). Apesar do encanto que o Morcego trás, cuidado ao entrar na água devido aos possíveis buracos. Por se tratar de uma praia deserta, não apresenta posto salva vidas. Portanto, se estiver em dúvida, tome cuidado e não se aventure demais. Por ela é possível subir e ver a Praia da Solidão. Um dos picos que quem curte a natureza por si só, não se arrepende de conhecer. Se for visitar traga seu saco plástico e ajude na preservação; traga seu amor e recolha seu lixo. Pra quem surfa dependendo das condições, dá pra dar uma queda. :)",,4,24 de janeiro de 2017
5,natureza exuberante,agua limpa porém pode ter ondas grandes  e correnteza. lugar calmo para relaxar e curtir um banho de mar em agua muito limpa. cuidado com a correnteza.,"São Paulo, SP",11,9 de janeiro de 2017
5,Um cantinho especial,"A praia é linda, com uma vista incrível, se for pela trilha que saí de cabeçudas se consegue acesso ao farol, à praia da solidão e ao Canto do Morcego. Aparentemente parece que essa trilha foi fechada, é bom procurar saber antes de ir. Essa é a parte ruim, limitarem o acesso dos moradores e dos que curtem o local, mas de qualquer forma vale muito a pena conhecer.","Itajaí, SC",28,5 de janeiro de 2017
4,Muito bom o lugar.,"Muito bom, o lugar é lindo e bem paradisíaco, mas o acesso não é nada facil, não recomendo para crianças e familias, somente para pessoas entre 15 e 45 anos.","Curitiba, PR",63,21 de novembro de 2016
5,imperdível,"localizada no canto da praia brava, esta praia de pende da maré para ser usufruída. o local é lindo e preservado.","São Paulo, SP",219,15 de novembro de 2016
5,A natureza te abraça,Também foi amor á primeira vista. A natureza te abraça. Voce respira o mar e as matas. Tem bom apoio de bebidas e petiscos. Gente bonita e alegre.,"Itajaí, SC",34,30 de setembro de 2016
4,Praia Deserta ameaçada,"Praia deserta localizada após a praia Brava sentido norte. A trilha que dava aceso pelo costão está fechada por tempo indeterminado pela Marinha do Brasil. É possível chegar as vezes através da orla da praia brava, passando por algumas pedras, porém, muito perigoso para dias de maré alta e ondas. Nesta praia existe também uma Caverna, conhecida como a caverna do Morcego. Um movimento público tenta tornar este lugar um Parque para que possa ser preservado mediante o crescimento econômico depredador dos ambientes de praia.","Itajaí, SC",312,3 de setembro de 2016
5,A praia mais bela de Itajai,"Praia frequentada por jovens, num recanto da praia Brava.Mais perto do morro dá para surfar.Muito frequentada no verão e com acesso meio escondido. Ė point de dia e a noite por causa dos restaurantes e noites, entre elas o Warung.","Porto Alegre, RS",58,31 de agosto de 2016
5,Deserta,"Praia deserta, lugar tranquilo para relaxar, mas sem banheiro e sem restaurante. Leve seu Lanche e bebidas.","Itajaí, SC",42,16 de agosto de 2016
5,Ao natural,"Fica no extremo sul da Praia Brava e cercada por morros. É um recanto natural de águas próprias para o banho e também frequentada por surfistas. Chega-se até ela a pé, ou pela praia de Cabeçudas ou pela praia Brava. Há no local a caverna do Morcego.","Itajaí, SC",61,12 de agosto de 2016
5,Conexão!!!,Para quem busca a conexão com a natureza e um momento de total relaxamento... Este local você deve visitar!!!,,51,3 de agosto de 2016
5,Canto do morcego é top!,O Canto do morcego é lindo demais! Passar pelas pedras e ficar na Praia deixa tudo mais legal! Fui com os amigos! Show!,"Itajaí, SC",110,7 de julho de 2016
5,Linda,"Linda praia, mais afastada e menos lotada... um refúgio com a natureza, muito bom para passar o dia.","Balneário Camboriú, SC",58,6 de julho de 2016
5,Lindo,Região de constante movimentacão turística é um local de visitação quase que obrigatória. Vai conferir!,"Itajaí, SC",46,1 de julho de 2016
4,Espetacular,"Praia linda, bom um espetáculo de belezas naturais, cercada por montes e matas, é uma lugar preservado e pra quem ama surfar!",,29,10 de junho de 2016
4,Bonito,"Bonita praia, com bastante natureza e gente bonita, na temporada é lotada, assim como a Brava. É uma boa opção na região.","Porto Alegre, RS",346,30 de maio de 2016
4,Linda praia deserta,"Um refúgio escondido. Preservado e isolado. Natureza em seu contorno. Para ter acesso usar trilha no final da praia de cabeçudas ou quando a maré esta baixa pela brava. Muito lindo, vale a pena com certeza.","Itapema, SC",25,21 de maio de 2016
4,Esconderijo Fascinante,Para quem vem da Praia de Cabeçudas pode se deliciar com o caminho por dentro da mata até chegar no Morcego. Excelente refúgio para uma tarde tranquila fora de temporada,"Araucária, PR",183,6 de maio de 2016
5,canto do sossego,"lugar bem bom para descansar,passar o dia ,apreciar ate os golfinhos ....só leve guarda sol ,uma agua gelada ....","Itajaí, SC",29,29 de abril de 2016
5,Ótima,"A praia do morcego é excelente para pratica de surf, o acesso a ela somente através de trilhas e a água é muito limpa","Navegantes, SC",31,27 de abril de 2016
5,Linda,Esse cantinho da praia é simplesmente demais... Muito gostoso para se passar o dia... Ótimo para surfar ou só desfrutar da bela paisagem.,"Itajaí, SC",48,26 de abril de 2016
4,Bonita mas perigosa,"Praia para a prática do surf......quando as ondas estão bombando fique alerta, de olho nas crianças.....fundo com buracos e muita correnteza. Lindo visual Ótimo banho Abraços",,59,26 de abril de 2016
5,Local lindo,A Praia do Morcego é um local muito tranquilo e lindo. A natureza foi generosa com este local. Boa para prática do surf.,,96,22 de abril de 2016
4,Praia,"A praia do Morcego fica na ponta esquerda de quem visita a Praia Brava no município de Itajaí-SC, alguns minutos antes de chegar a Balneário Camboriú, vindo do centro, local de fácil acesso. Mas para chegar a Praia do Morcego visitando a Praia Brava o aceso de carro é interrompido, então somente a pé, o que faz um bem danado. O acesso de carro somente pela Praia de Cabeçudas, passando por uma reserva natural belíssima ainda bastante preservada, vale a pena conhecer antes que aconteça o que está acontecendo no lado sul, onde dezenas de novos edifícios estão em construção, modificando por completo uma praia até então pouco explorada. Dali para chegar a ponta sul, só caminhando ou voltando ao centro de Itajaí e se dirigindo novamente à Balneário Camboriú.","Novo Hamburgo, RS",13,22 de abril de 2016
4,lindo lugar,"se prepare pra maresia, mas a vista é estarrecedora. Lugar calmo, praia tranquila e com poucos passantes, ajuda a curtir e relaxar, prefeito até pra dias de semana.","Itajaí, SC",58,6 de abril de 2016
5,"""Visual Deslumbrante""","O acesso à praia só é possível através de uma trilha pelo Morro do Farol ou pelas areias da praia Brava quando a maré está bem baixa. O mar é bastante agitado, sendo muito procurado pelos surfistas. Em um dos paredões que cercam esta praia, fica a Caverna do Morcego, uma gruta de quatro metros de largura e 50 de profundidade que se formou com a ação do mar ao longo do tempo. E como o próprio nome diz, é habitado por muitos morcegos. Recomendo conhecer!!",,5,6 de abril de 2016
5,Lugar magnífico,"Sem dúvidas a praia do morcego e a da solidão são as mais belas  de itajaí, apesar da marinha ter fechado a trilha é possível fazer a trilha pela brava se a maré estiver baixa.","Itajaí, SC",28,2 de abril de 2016
5,Praias,"ótimo cantinho para quem busca sossego e contato com a natureza na santa e bela catarina! Vale a pena conhecer, assim como a Praia Brava.",,11,30 de março de 2016
4,Muito boa,"Praia muito boa, muito bem frequentada pelo publico jovem. Mar bom para praticantes de surf. Praia limpa.",,107,21 de março de 2016
5,Linda!,"Se você ir pela trilha que vai pela praia de Cabeçudas, vai ter uma vista linda e poder aproveitar esse canto de paz.","Itajaí, SC",16,17 de março de 2016
3,Linda.,"Adorei essa praia pois o mar tem uma cor linda e a areia é branca e fofinha. Só não conta com muita infraestrutura, mas, talvez seja por isso que ela permanece limpa.","Aratiba, RS",114,8 de março de 2016
5,A Melhor Praia de Itajai,O canto do morcego é realmente a toca do batman. Trata-se dw um trecho de natureza intocada próximo às grandes cidades de itajai e balneário. Para um passeio mais ecológico Opte pelo belo caminho que passa por dentro do bairro de cabeçudas.,"São Paulo, SP",64,1 de março de 2016
4,Linda,"Praia linda, areia fofinha e limpa. A praia não tem estrutura de restaurantes ou bares, mas vale a pena levar um lanchinho e curtir. Praia boa para surf.","Itajaí, SC",292,22 de fevereiro de 2016
5,Totalmente Linda,A praia do Morcego é muito linda e bastante preservada. As ondas são muito boas para o surfe e a praia é bem cuidada e bastante limpa. A natureza foi generosa nesta região.,"Porto Alegre, RS",160,12 de janeiro de 2016
5,A mais bonita praia de Itajaí,"Ondas perfeitas, oferece paisagem surreal. No canto Norte da Praia Brava, torço para que continue sendo agreste e intocada.","Balneário Camboriú, SC",16,17 de dezembro de 2015
