rating,title,text,location,num_contributions,date
5,Excelente !  Mas passem longe do Aloha de praia!,"É uma praia excelente para famílias. Águas cristalinas e tranquilas! Uma das melhores da região! Super recomendo. Para quem busca infra estrutura para usufruir no local, apenas fujam do Aloha Bar de Praia do balneário Pereque, péssimo atendimento, grosseiro, não respeitam o cliente! Mas a praia em si é ótima, procurem outros bares de praia no entorno e valerá muito a pena!","São Paulo, SP",151,25 de janeiro de 2026
5,Potencial turistico,"Melhor praia de Porto Belo, por ser ao lado da Meia Praia essa praia se tornará uma das melhores praias de SC para investir no mercado imobiliário.",,3,26 de março de 2025
5,Praia para crianças,"Praia com águas quentes e calmas, areia firme. Ideal para quem tem crianças pequenas e que buscam sossego e tranquilidade.","São Paulo, SP",24,20 de março de 2025
5,Viver em um Paraíso …,"Conheço bem está praia , veraneio desde do ano 2000 , é linda , mar calmo , ótimo para crianças , ondas fracas e água bem quente , já conheci  muitas praias por esse Brasil a fora , lindas , maravilhosas , mas foi aqui no Perequê q escolhi viver ! “Não sei onde a felicidade mora , mas acredito q seja Aqui “",,1,6 de fevereiro de 2024
4,Apesar da chuva praia muito boa,"Estive em janeiro, fiquei 2 dias na região choveu muito no primeiro dia, no segundo dia acalmou, aí deu pra aproveitar um pouco. Gostei do mar em Perequê com ondas fracas, bastante infraestrutura, perto de tudo, inclusive de Bombinhas, Itapema, e de outras praias.Muito boa praia, apesar da chuva ☂️","Araucária, PR",40,30 de janeiro de 2024
1,Desleixo do poder público,"Praia de enorme potencial turístico, levando-se em conta extensão da faixa de areia e aguas calmas (para crianças e esportes náuticos). Entretanto, o desleixo do poder público com a limpeza e a ausência de fiscais de praia, ocasionam a elevada presença de plásticos e lixo de toda ordem, bem como o desrespeito de determinados frequentadores que fazem uso de som alto e prática de esporte em meio a banhistas. Assim, o município perde turistas e divisas para praias de cidades vizinhas.","Pelotas, RS",1,21 de dezembro de 2023
1,Não volto mais.,"Não tem tratamento de esgoto, um nojo. Prefeitura relaxada. Cheio de cachorros na beira-mar e... cocô de cachorro também, óbvio. A praia é  linda mas se entrar na água a pessoa pode sair doente.",,1,24 de janeiro de 2023
5,Pereque - uma das melhores praias de SC,"Uma das melhores praias de SC, limpa, calma, com espaço para montar guarda sol e cadeiras, e boa infra estrutura na areia da praia na temporada. Ideal para família com criança, pelo mar bastante calmo e quase sem ondas. Devido ao mar calmo, é ótima para prática de caiaque ou stand up.","Curitiba, PR",57,25 de dezembro de 2022
4,Traz boas lembranças de uma época que não volta mais (Recordar é viver),"Conheço a praia do Perequê desde 2004, incrível como a cidade evoluiu e a praia também ganhou uma infraestrutura adequada a nova realidade da cidade de Porto Belo. A praia dispensa comentários, água morna e mar calmo, e frequentada por pessoas civilizadas.","Guarulhos, SP",607,24 de março de 2022
1,Pessima extrutura,"Estive com a família no feriado de carnaval deste ano 2022, a praia em si é boa, mas a estrutura é pessima, não tinha se quer iluminação na praia a noite, se você pensa em ir para uma praia para fazer um passeio a noite, caminhar na praia, não vá a esse lugar, caso queira ir para uma cidade de praia para ficar dentro de casa a noite é um lugar perfeito, não voltarei mais.",,1,8 de março de 2022
