rating,title,text,location,num_contributions,date
5,Qualidade da estadia,"Praia limpa, orla certificada. Calçadão largo para caminhada, fácil acesso para quem vem pela br 101. Comércio variado e de fácil localização",,1,6 de outubro de 2025
5,Inesquecível,Surpreendente  praias incríveis e maravilhosas Inacreditável Oque o turismo oferece e o desenvolvimento surpreendente que está  sendo feito em balneário picarras SC,,8,9 de abril de 2025
5,Diversão e barriga cheia.,"Praia bonitas, visual incrível e restaurantes muito bons, comi uma tilápia muito bem servida, com arroz e batata fritas, que alimentaria quatro pessoas. Restaurante do Capitão.",,132,8 de abril de 2025
5,Ótima praia,"Na parte sul de Piçarras, praia limpa, mar calmo (ótimo pra crianças) e com estrutura de quiosques e restaurantes. Praia bem familiar.  Porém, na parte norte, apesar da praia também ser limpa, não tem estrutura de quiosques e o mar é violento. Talvez pela ausência dos molhes (na parte sul tem bastante). A cidade possui muitas opções de restaurantes a noite e dois locais para quem até curtir a noite: o Challenge Pub Rock e o Challenge Beats (pra quem curte pagode e sertanejo).","Penha, SC",6,17 de março de 2025
5,Bom Passeio,"Cidade tranquila somente com praia para curtir , nenhum atrativo , fiquei em casa de parentes para ir ao Beto Carrero e visitar Balneário Camboriú",,1,29 de janeiro de 2025
4,Dia pacífico,Pequena praia que é geralmente limpo. Água quente e um ambiente seguro e familiar. Sem barulho ou vendedores insistentes. Aproveite o dia,,4,automaticamente
5,Ótimo para família,"Praia limpa , bem cuidada , água limpa , nenhuma estrutura para turista ( quiosques ) , logo leve sua bebida , sorveteiro sempre passa pela praia .","Cotia, SP",18,8 de janeiro de 2025
5,Praia incrível!!!!,"Praia limpa,segura com ótima infraestrutura para receber turistas e bem localizada de fácil acesso para vários pontos turísticos de Santa Catarina.",,1,27 de setembro de 2024
1,Uma decepção,"Uma cidade descuidada, areia suja, acessos complicados, unidade de tratamento de esgotos sem atuar, explosão imobiliária sem critérios de acessibilidade,enfim, muito ruim","Curitiba, PR",210,16 de março de 2024
2,restaurante do zezinho possui a melhor comida da cidade,"Trata-se de uma cidade que possui belezas naturais, porem com graves problemas de infraestrutura básica, segurança pública deficiente e escassez de serviços públicos fora do período de veraneio. A cidade possui vida própria de 15 de dezembro até o carnaval, depois vira uma cidade deserta. Atenção aposentados, se precisarem de serviços médicos dependerão da BR 101 para conseguir atendimento em Itajaí ou Balneário Camboriú. A cidade não possui hospital e os serviços públicos deficientes.","Balneário Camboriú, SC",1,14 de outubro de 2023
4,Excelente opção!,"Esta praia é uma excelente opção para passar o dia. Oferece uma boa infraestrutura , o mar  tem ondas, mas dá para aproveitar muito.","Farroupilha, RS",34,23 de agosto de 2023
4,"Ótima praia,mas mar violento","Praia limpa, com larga faixa de areia, familiar. O único ponto negativo é o mar ser muito violento, tem que tomar muito cuidado, principalmente com crianças.",,72,28 de julho de 2023
4,"Picarras, Armação","Praia boa, agua própria para banho, boas opções de praias perto, principalmente armação. O trapiche da enseada é otimo, agua cristalina e bom para pescar","Londrina, PR",171,8 de abril de 2023
5,Maravilha,"Praia excelente, otimos restaurantes e bares, água do mar sem poluição, bem servida de guarda vidas, duchas e banheiros nos postos de guarda vidas.","Curitiba, PR",8,23 de fevereiro de 2023
5,Otima praia para famílias,"Praia maravilhosa com água quentinha e limpa ! Areias branquinhas e sem aglomeração na orla!! Museu oceonografico na cidade, próxima à praias mais badaladas para quem gosta!",,5,14 de janeiro de 2023
4,Verão em Piçarras,"É uma praia com boa infraestrutura, mar limpo e agradável. A praia tem o mar um pouco agitado (dezembro) mas é muito bem servida de salva-vidas. Há alguns poucos restaurantes de qualidade, dentre eles, pizzarias.","Curitiba, PR",89,31 de dezembro de 2022
4,Praia com uma boa estrutura,"Praia limpa com uma boa estrutura. Fácil acesso de carro, com diversos bares e restaurantes. Mar calmo. Boas opções de bares e restaurantes pela orla da praia.","São Paulo, SP",912,23 de julho de 2022
5,Deck na orla de Piçarras,Maravilhoso pra caminhar e respirar o ar da praia! Experiência super prazerosa em família! Tudo muito limpo e organizado. Eco sistema de praia bem preservado.,"São Bento do Sul, SC",5,19 de abril de 2022
4,"Praia tranquila, para famílias.","Praia tranquila, com água um pouco turva (ao menos quando estivemos lá), com ondas razoáveis. Areia um pouco grossa, e um pouco inclinada, o que dificulta um pouco as caminhadas.   Praia tranquila, com muitas famílias.","Maringá, PR",111,12 de janeiro de 2022
4,Linda praia,"Apesar da chuva e depois o nublado, praia muito linda e agradável. Água quentinha. Cidade organizada.","Joinville, SC",66,4 de janeiro de 2022
1,Poluição da praia de Pi arras e peixes mortos,Milhares de peixes mortos na areia Não consigo imaginar o que aconteceu Cenário terrível. Não saudável. Não vai voltar aqui. Condição zero para entrar,"São José dos Campos, SP",101,
5,Praia muito boa,"Praia tranquila, lugar muito gostoso para passear com diversas opções de passeios. Recomendo a Escuna do Capitão Gato.",,23,25 de dezembro de 2021
5,"Praia calma, mar nem tanto. Ideal para famílias.","Se Vc precisar de apoio de restaurante/bar, sugiro ficar na primeira metade da praia, mais próxima à cidade de Piçarras. O mar tem correnteza, porém, se Vc for nadar próximo à quebrada das ondas, dá pra pegar bons jacarés. Pra ficar mais próximo da água, é bom levar guarda sol e cadeira, apesar de haver esses itens pra alugar no início da praia. A praia é super segura, com muitos salva vidas distribuidos ao longo da orla.","Buenos Aires, Argentina",54,22 de dezembro de 2021
5,PRAIA LIMPA E TRANQUILA,"Piçarras é uma praia com bandeira azul, própria para banho, possui área verde de preservação. Praia ideal para quem procura tranquilidade. E, se quiser agito, é só pegar a estrada e visitar a redondeza.","Curitiba, PR",17,15 de novembro de 2021
4,Viagem em família,Ligar excelente para passar com a família A praia melhorou muito em estrutura e organização Também. Foi realizado revitalização na beira mar.,"Puerto Iguazú, Argentina",22,27 de junho de 2021
5,Praia tranquila,Praia muito boa para familias completas com crianças. Tranquila e segura também. Varias casas e aps para alugar na região. Internet não funciona muito bem em vários pontos.,"Curitiba, PR",17,13 de abril de 2021
4,Praia,"Praia com movimento na temporada,tem boa infraestrutura de lazer no entorno,mas no inverno não se encontra nada.",Brasil,5,9 de março de 2021
4,Movimento e beleza,"Praia agitada, principalmente nesta época de verão, com diversas opções de praias, atrações e gastronomia. Está muito bonita e estruturada a praia central nota 10. No geral a prefeitura poderia olhar um pouco mais para segurança e estrutura nas demais praias do município.","Joinville, SC",574,24 de fevereiro de 2021
4,Ótima praia,Praia tranquila e ótima paranir em família. Local reservado com poucos mas bons quiosques. Muito agradável,"Santo André, SP",75,13 de janeiro de 2021
4,Ótimo lugar para férias em família,Local tranquilo para quem quer descansar e curtir uma praia em família. Perto da divisa com o estado do Paraná e os preços de hospedagem são bem interessantes.,"Londrina, PR",28,6 de janeiro de 2021
5,Praia Piçarras,"Praia tranquila , limpa,  lugar agradável  para curtir com a família.  Calçadão excelente para caminhadas a beira da praia.  Lanchonetes e restaurantes bem próximos.  Lugar acolhedor!",,4,28 de dezembro de 2020
5,Praia Piçarras👍.....Petiscaria Caravelas👎,"Praia ótima, lugar excelente, indico é retornarei a este lugar lindo. Só tenho um porém.....não indico o petiscaria caravelas, pedi um suco de laranja natural, me servirão um suco cheio de água. Resumindo, solicitei a troca do suco, não fui atentendido e no final o Dono da petiscaria (O Alemão)  cobrou o suco e conversou comigo com uma postura mal educada/ prepotente. Falei para ele que eu iria avalia-lo na tripadvisor...ele me respondeu que eu poderia avaliar pq ele não precisa é não liga para essas avaliações",,1,15 de dezembro de 2020
4,Muito bom,"A pria estav ótima no período que fui, mudou minha percepção sobre a cidade. Acho que Piçarras fica muito melhor na baixa temporada.","Campo Grande, MS",121,5 de novembro de 2020
3,"Boa praia, pouco movimento pela pandemia.","Boa praia, gente simpática. As ondas quebram próximas da areia durante o período inverno primavera. No verão, me disseram, que a praia é bem calma. Gostei, mas não me impressionou.","Curitiba, PR",133,19 de setembro de 2020
5,Excelente,"Praia linda, movimentada para quem vai curtir com os amigos, muitas opções para visitar, o prefeito cuida muito bem da cidade, sempre limpa! Só cuide para não estacionar em local proibido, principalmente em frente a comércios que tem estacionamento próprio! No mais tudo maravilhoso!",,1,16 de março de 2020
4,Delicia,"Amo praia , essa bem gostosa , já com uma infra melhor , água não tão congelante . Visual bem legal , com mais gente","Santo André, SP",15,13 de março de 2020
4,Agito e beleza,"Praia agitada, principalmente nesta época de carnaval, com diversas opções de Shows e atrações programadas pelo município para receber aos turistas.  Está muito bonita e estruturará a praia central nota 10.","Joinville, SC",574,24 de fevereiro de 2020
5,Férias,"Excelente praia. Um detalhe que me chamou a atenção foi na limpeza da praia, tanto no dia a dia e também na passagem do ano, não ficou nenhuma sujeira. Os frequentadores fazem o que deveria ser rotineiro.",,8,19 de fevereiro de 2020
4,"Ótima praia, ótima cidade.","Praia limpa, água morna, ambiente familiar. Não estava muito cheia, barracas na praia. Lojas e restaurantes na Av. Beira mar. Salva vidas. Lugar para estacionar o carro. Recomendo muito.","Guia Lopes, MS",27,12 de fevereiro de 2020
5,Praia Belíssima,"8km de praias limpas !!! Natureza linda , lindas paisagens !!! Cidade com ótima estrutura . Mar limpinho, muitas conchas 🐚 Aula de caiaque na temporada.",,41,12 de fevereiro de 2020
5,""" Excelente ""","Eu e minha esposa adoramos,água tranquila com poucas ondas,próxima ao molhe central,a noite uma boa caminhada a beira mar,lugar seguro pode ir sem medo ,boas opções de bares,restaurantes,sorveteria,mercados e padaria. Tem passeio de Escuna do Capitão Gato e Escuna vó Nica,Museu Oceanográfico.","Curitiba, PR",18,4 de fevereiro de 2020
5,muito bom,"Gostei muito, piçarras é recomendado para crianças, muito aconchegante, praia limpa, varios comercios, atendiemnto e fornecimento de garda sol e cadeiras.",,8,4 de fevereiro de 2020
4,Ótima pra descansar,"A água  estava numa temperatura  boa,tem serviço  de praia de bares e restaurantes,poucos ambulantes,mar calmo e tem até  tartarugas.","Jaguaruna, SC",41,29 de janeiro de 2020
4,Praia em Penha,"Recomendo visitar a praia ""bacia da vovó"" em Penha, super tranquila, dá pra ir com crianças e tem lugares lindos para fotografar.","Guaiçara, SP",3,28 de janeiro de 2020
3,Boa praia,A praia tem água deliciosa. Uma pena que tem muita muito bituca de cigarro na areia. Principalmente perto da mureta.,"São Paulo, SP",72,27 de janeiro de 2020
3,A praia das bitucas de cigarro!,Muita sujeira e micro lixo espalhado pela areia. Fora dos padrões que encontramos em outras praias de SC...,"Porto, Portugal",18,27 de janeiro de 2020
3,Mar bravo,"A água com temperatura agradável (final de janeiro), porém com ondas muito fortes, até mesmo na parte mais rasa, sendo difícil ficar muito tempo na água sem levar um tombo pela força das ondas. Não recomendo pra crianças. Nos restou ficar na areia, que já foi o suficiente pra relaxar e curtir o ambiente, bem agradável.","Foz do Iguaçu, PR",7,26 de janeiro de 2020
4,"Praia Linda, mas falta infraestrutura para turistas","Praia muito linda e tranquila, mas falta infraestrutura para os turistas, como sanitários e chuveiros que funcione, não pode ficar dependendo dos bares e restaurantes para atender","Indaiatuba, SP",305,21 de janeiro de 2020
4,"Uma praia badalada, apenas.","A praia como sempre na mesma, praia mais ou menos para banho, mas com uma grande infraestrutura e bons restaurantes nesta área.","Itajaí, SC",122,20 de janeiro de 2020
5,Sossego e excelente mar e praias,"Cidade tranquila, povo simpático e acolhedor, orla bem cuidada com duchas de água doce em quase toda a extensão da praia, cidade e praias limpas e segura, bons restaurantes e bons preços. A única coisa realmente cara em Santa Catarina é o preço da gasolina R$4,39!!! Voltarei!",,4,20 de janeiro de 2020
5,Praia com estrutura,"Praia muito boa, com estrutura e não precisa levar cadeira nem gurda sol, fiquei em frente ao hotel imperador, um atendimento excelente do pessoal do restaurante, mesmo cheia, a praia tinha bons espaços, o mar é um pouco forte para crianças, mas nada muito preocupante.","São José dos Campos, SP",44,9 de janeiro de 2020
5,Ótima,"Água na temperatura ambiente, ondas sem muito perigo, quiosques e  restaurantes nos arredores. Áreas para prática de esportes.","Brasília, DF",40,6 de janeiro de 2020
3,Banho na praia,"Gostei da areia da praia que é um pouco mais grossa e com bastante conchinhas, o que é divertido com as crianças. Para mim teve dois pontos negativos, um foi o mar que tem uma baixada grande logo na entrada, o que torna perigoso para o banho e a outra foi a de encontrarmos uma espécie de água viva chamada caravela portuguesa (cuja o nome um salva vida nos explicou muito bem), esta alfa viva acabou queimando uma criança que foi encaminhada para o hospital.","Brusque, SC",8,31 de dezembro de 2019
3,"Boa praia, cidade com pouca estrutura","A praia é muito gostosa, boa segurança de salva-vidas, mas a cidade peça pela falta de estrutura. Poucos restaurantes de qualidade e hotéis! Vale a pena o passeio, mas não espere muito!",,12,30 de dezembro de 2019
3,Praia de Piçarras,"Praia com areia bem fina, com ondas calmas e boas para mergulho, porém a água bem escura. Boa infraestrutura com locais de comidas e bebidas, porém quando estivemos no local a torneira para lavar-se não tinha água. Bem movimentada.",,4,27 de dezembro de 2019
3,Quebra galho,Essa praia é um quebra galho para quem está por perto. Não é bonita nem tem grandes atrações. Quando fui a água estava morna e quase sem ondas.,,26,26 de dezembro de 2019
5,Deslumbrante,"Praia limpa e agradável. Ambiente organizado, cidade acolhedora e com boas opções para curtir amigos e família.","Brusque, SC",36,25 de novembro de 2019
3,Legal e bem localizada,Estivemos lá porque fica perto do Beto Carrero. Não é como em Camboriú que a praia é mais convidativa mas tem o selo azul que significa bastante em termos de praia. Gostamos que tem de tudo lá e os aps no airbnb tem diárias bem interessantes.,"São Paulo, SP",29,21 de novembro de 2019
3,Praia longa e perigosa,"Praia com longa extensão e faixa de areia bem considerável. Peca na urbanização da orla. O mar tem bastante correnteza e ondas, perigoso. A água é fria.","Novo Hamburgo, RS",4,18 de novembro de 2019
2,"Mar frio, com poucos atrativos e muitas conchas","Além de boa parte da praia sequer ser própria para banho, é pequena, com pouca faixa de areia, água fria e cheia de conchas. Santa Catarina tem dezenas de alternativas melhores e próximas.","Curitiba, PR",108,17 de novembro de 2019
5,Muito bom,"Gostei muito desta praia, é muito limpa, bem cuidada, ótima estrutura, a faixa de areia é excelente.","Dois Vizinhos, PR",628,31 de outubro de 2019
5,Linda,"Praia bem limpa, águas limpidas, bem estruturada com restaurantes que atendem na praia, com atenção e educação.","São Carlos, SP",45,27 de setembro de 2019
