rating,title,text,location,num_contributions,date
5,Sentindo o odor do Oceano Atlântico,"Se você quer vivenciar as belezas do Oceano Atlântico, a Praia de Ubatuba no Brasil oferece uma vista incrível. É o lugar perfeito para tirar fotos e apreciar a paisagem, podendo até nadar no mar. Se você estiver em São Paulo, Brasil, não perca.","Kigali Province, Ruanda",229,20 de maio de 2024
5,Passeio,"Praia muito bonita, mar não estava muito agitado, segura, grande e bem frequentada. Não tem muitas opções de quiosques.",,4,16 de fevereiro de 2024
5,Subir a pedra da Praia da Saudase,"Tem a prainha que é a parte central para ver surfistas arwia monasitica e bares fantasticos e mais 20 km de praia viegem com algunas dunas,mas tem a estrada nao precisa andar com seu carro nas dunas. Vc mesmo ppode parar e fazer suas caminhadas nas dunas","Joinville, SC",65,7 de junho de 2023
5,Ótima,"Uma bela praia, bem sossegada, pra quem não quer o agito de enseada, é uma bela pedida, sendo que a praia de Ubatuba, Itaguaçu e Enseada são bem róximas,","Dois Vizinhos, PR",628,13 de dezembro de 2022
5,Praia limpa e sossegada,"Tivemos uma grata surpresa ao conhecer essa praia, pois nessa época está bem tranquila, com poucas pessoas mas muito sossego. Tem algumas opções de comércio e restaurantes abertos. A praia é limpa, tranquila, segura e bem sinalizada. Vale muito a pena parar aqui e ficar alguns dias para relaxar. Nós adoramos.","Curitiba, PR",117,25 de outubro de 2021
3,Praia semi-urbana. Mar agitado,"Itaguaçú, Ubatuba e Enseada são como uma mesma praia, ficando apenas Enseada separada por um canal. Ubatuba, por sem mais distante do burburinho de Enseada, é mais tranquila e tem menos gente.","Curitiba, PR",801,1 de outubro de 2020
5,Belas praias,"Ubatuba o litoral de SP, que vale muito à pena conhecer, porém vá com tempo suficiente para conhecer e curtir o máximo de praias possíveis. As praias são próximas uma das outras, algumas sem estrutura alguma, leve alimentos e bebidas, mas vale o sacriício, pois a beleza simplesmente incomparável e apaixonante!",,64,9 de outubro de 2019
4,BELA PRAIA,"Pude conhecer as praias de São Francisco do Sul, como; Itaguaçu, Ubatuba, Enseada, Prainha, praia grande, praia do ervino e Capri. Itaguaçú é uma praia mais limpa de águas claras e quentes situada nu lugar essencialmente residencial, não possuindo restaurantes ou lanchonetes na Orla. Ubatuba é mais movimentada, também com águas limpas e quentes. Enseada é a praia do Agito, muito movimentada e com estrutura de restaurantes, Lanchonetes, barzinhos e comércio de lojas em geral, com uma vasta extensão de areia onde possui estrutura para lazer de jogos como volei de praia, futebol, palco para shows etc, porém não gostei da água para banho, apesar de mansa sem muitas ondas, mas tem um declive até chegar na água. Prainha é uma pequena extensão de areia, donde vem o nome, com ondas consideráveis, frequentada por surfistas. Praia do Ervino, é uma praia sossegada, como estava chovendo não pude avaliar melhor, mas deu para ter uma idéia, pois não ví estruturas de restaurantes ou lanchonetes. Fiquei encantado com a praia de Capri, bem deserta, com vasta extensão de areia e águas mansas, pouco frequentada por turistas.","Apucarana, PR",62,20 de março de 2019
5,Praia Perfeita,A praia de Ubatuba é um prolongamento da Praia da Enseada porém as águas são pouco mais agitadas e com ondas um pouco maiores mas nada que atrapalhe sossego e tranquilidade de quem está aproveitando lugar. Não tenho muitas opções gastronômicas como na praia da enseada porém os poucos lugares que têm são ótimos e valem a pena serem frequentados.,,35,9 de março de 2019
4,Praia bonita e tranquila,A praia é bem tranquila e bonita. Uma praia sem quiosques e vendedores ambulantes. No dia que visitei havia alguns pescadores de arremesso. A praia estava sem onda. A praia estava frequentada principalmente por famílias.,"São José do Rio Preto, SP",158,25 de fevereiro de 2019
