rating,title,text,location,num_contributions,date
5,Praia vermelha vista de cima,A prima vermelha é ainda mais bonita vista de cima com o voo de parapente! Fizemos o voo neste ano com um pessoal muito experiente. Até voaram com a minha filha de 9 anos,"Foz do Iguaçu, PR",332,11 de fevereiro de 2024
5,Praia vermelha,"Praia isolada, mar agitado mas menos lotada que as demais na cidade. Pessoal reclamando falta de bates e vendedores ambulantes, acho que é um diferencial da praia.","Gaspar, SC",1,13 de fevereiro de 2023
5,Indicado para adultos,"Visual maravilhoso, porém único restaurante na praia, demorado demais. Indicada para adultos, pois a praia muito brava, mar agitado.","Cascavel, PR",7,30 de janeiro de 2023
4,"Uma linda praia porém sem estrutura nenhuma, oq não é novidade em penha","Todas as praias em Penha são largadas, sem estrutura decente, quando há os preços são absurdos. Essa praia é linda, mar bem limpinho, tem salva vida o tempo todo, o mar tem bastante onda (eu particularmente gosto), a areia é meio cascalhenta mas não machuca o pé.  Não fiz a trilha mas deve ser legal. No fim da estradinha tem lugar pra estacionar q não se cobra nada, de resto é tudo vintão. SC tem praias lindas, mas tudo largado.",,108,11 de janeiro de 2023
4,Beleza selvagem,"Segunda visita nesta praia, onde o acesso é um pouco ruim (mas é curto o trajeto) e não há muitos locais pra estacionar, nem infraestrutura de comércio. A praia é linda, limpa, temperatura boa da água, porém com muitas ondas, meio perigosa. Caminhando pela praia, dá para passar para outras prainhas lindas. Não chegamos a fazer, mas sei que tem trilha lá por perto. Recomendo a visita!","Florianópolis, SC",44,9 de janeiro de 2023
5,Uma grata surpresa,"Está praia foi uma grata surpresa em Penha, uma praia limpa e bem conservada, o mar é braVo, mas é possivel aproveitar a agua proximos aos corais. No local tem apenas 1 restarante/pousada, as comidas e caipirinhas são uma delicia, porem a simpatia no atendimento vai depender do dia que você for.","Suzano, SP",5,4 de março de 2022
5,Linda praia agreste,Lugar lindo. Praia agreste. Proporciona lindas fotos. Tem uma descida que dá acesso  a praia. Tem o morro onde saltam de parapente.,"Balneário Camboriú, SC",56,3 de fevereiro de 2022
5,Linda,"Simplesmente perfeita e eu nem devia fazer essa avaliação para que não fiquei indo lá e estraguem tudo. Mas, acesso difícil.",,6,20 de janeiro de 2022
5,praia show de bola,praia show de bola recomendo pra que estiver na região vale a pena conferir quando puder voltarei visitar,,5,3 de fevereiro de 2021
5,Melhor experiência mesmo em pandemia!,"Praia super limpa, mar bravo, porem a vista é linda ainda mais voando de parapente. Eu amei o passeio!",,2,1 de fevereiro de 2021
4,Praia limpa,"Janeiro/2021- Praia isolada, visual maravilhoso! Mar agitado, porém limpo. Areia limpa, fofa, faixa larga. Sem bares ou comércios.",,4,14 de janeiro de 2021
4,Super limpa,"A praia é bacana, bastante limpa, tem ondas fortes e salva vidas. Não recomendaria para crianças pequenas, as minhas estão entre 9 e 12 anos e se divertiram bastante. Perde em questão de infraestrutura, por ter um único restaurante, que permite o uso do banheiro caso haja consumo, ou vc paga R$ 5,00 para utilizar. Da praia da para observar os voos de parapente, que não consegui fazer por falta de vento.","São Paulo, SP",4,28 de outubro de 2020
4,Amo praias,"Praia vermelha é bem gostosa principalmente para quem gosta de água gelada ... Trilha um pouco longa mas bem legal e linda Leve água , repelente e vá de tênis , tem bastante pedra , subidas e descidas , mas será bem recompensado se gostar de praias desertas e privadas .","Santo André, SP",15,14 de março de 2020
5,Linda praia,"Fomos com certo receio, devido a algumas postagens anteriores. Coloquei no waze, e fomos. Acesso por uma estrada de terra, no máximo 2 km, bem tranquila (meu carro é baixo), sem nenhum problema, exceto a sujeita (muita poeira). Chegando lá, pode deixar o carro na rua principal (de terra), ou numa outra rua que cruza, tudo bem tranquilo, ou deixar num estacionamento que tem (R$ 15,00 a diária, com ducha). Logo após esse estacionamento, tem o restaurante, que alugam Guarda sol (R$ 20,00), cadeira, etc. Se quiser usar o banheiro, cobram R$ 5,00, mas se alugar o guarda sol, ou consumir alguma coisa do restaurante, não paga. A praia é pequena, deve ter no máximo 800m, mas muito bonita, com várias pedras dos dois lados. Bombeiros ficam de prontidão o dia todo. Vários surfistas, pois o mar é bem agitado, porém, na parte esquerda de quem chega (tem bandeira verde dos salva vidas), é mais tranquilo, e as crianças conseguem aproveitar no raso. Vale muito a pena a visita, principalmente por não ser tão agitada quanto outras praias, e muito bela de passar o dia. Aconselho levar cooler com bebidas e algum lanche, petisco, mas pode comprar no restaurante também.","Curitiba, PR",32,24 de fevereiro de 2020
4,"Praia , ainda meia selvagem .","Praia , ainda meia selvagem , acesso não muito confortável , mas vale o passeio e uma boa praia ..............","Valinhos, SP",192,20 de fevereiro de 2020
4,Gostei limpa,"Gostei muito desta praia, ela é limpa e com poucas ondas, indicado para familias, porem falta quiosques com banheiros,",,8,3 de fevereiro de 2020
5,Praia Linda,"Praia linda com água limpinha, areia branca e pouca gente. Como tinhamos somente um dia para conhecer as praias, escolhemos essa e foi muito bem escolhida! Adorei!","São Paulo, SP",42,24 de janeiro de 2020
4,Praia boa,"Praia boa, ondas leves, limpa. Um quiosque simples, mas com serviço razoável . Salva-vidas o dia todo",,5,11 de janeiro de 2020
4,Para surfar!,"Praia praticamente deserta, com águas muito limpas, mas com mar agitado e ondas fortes, boa para o surf e onde também é realizado os sobrevoos de parapente. Recebe o nome de praia vermelha devida a cor de sua areia que tem essa coloração, consequência da água que desce da montanha que a protege. Não possui nenhuma estrutura, apenas um posto de guarda-vidas.","Nilópolis, RJ",414,9 de janeiro de 2020
4,Linda praia tranquila,"Fizemos a trilha do rosa norte para a praia vermelha (caminho lindo, trilha bem cansativa mas sem grande dificuldade). Chegando a praia é lindíssima e super tranquila, nao tem barraquinhas nem bares, portanto é bom levar o que quiser consumir. Super preservada e tem uma área com arvores e bastante sombras perto da areia. Vale o passeio!","Porto Alegre, RS",5,4 de janeiro de 2020
5,Lindo,"Praia tranquila, água sem ondas com várias pedras, lugar lindo, nos rendeu várias fotos para recordação","Curitiba, PR",19,2 de janeiro de 2020
4,Praia vermelha - Penha-SC,"Praia ótima, reservada, linda e com água muito limpa, o mar um pouco agitado, mas nada que atrapalhasse os mergulhos. Bombeiros a disposição o tempo todo na praia. Peca em ter pouca infraestrutura em relação a banheiros, local com vendas de comida e bebidas e até mesmo duchas para lavar-se após sair da praia. Estrada de chão para chegar até o local.",,4,26 de dezembro de 2019
5,Linda praia,"Estivemos no Mirante da praia vermelha, local de fácil acesso e localização feita pelo gps. A quem estiver em Penha vale a pena o passeio pois a vista é maravilhosa!",,9,29 de outubro de 2019
5,Ferias,A praia é linda ...viajei no começo de setembro apesar de estar frio e tempo nublado a vista é muito bonita....com sol deve ficar show de bola,"Santana de Parnaíba, SP",6,3 de outubro de 2019
5,Muito bonita,"Vale a pena, uma praia mais deserta, bom pra caminhar, tomar banho e tem uma bela vista do alto (pode acessar à pé). Se caminhar mais à direita, vc consegue ver uma pequena queda d'água que desemboca no mar. Não vá achando que é uma cachoeira, apenas um pequeno riozinho. Vc pode ir seguindo esse caminho para dentro da floresta, legal pra quem gosta de explorar.","Joinville, SC",213,17 de agosto de 2019
4,Trilha Caminho do Pescador + Cachoeira - Penha,"Associei a trilha Caminho do Pescador (nome dado pelo prefeitura) com a subida da cachoeira deste a praia. Iniciei pela Praia Vermelha, seguindo as prainhas até a cachoeira. Subi até encontrar a trilha do demarcada em direção a Praia do Gravatá e depois Praia do São Miguel. Na volta conclui a trilha caminho do pescador, na qual sai na estrada. Por ser uma trilha costeira, não possui grandes vistas, mas como voltei pelo morro, a descida até a Praia Vermellha tem um visual sensacional. Quem quiser aproveitar a tour pela cidade, tente pegar o por-do-sol na Ponta da Vigia ou Praia do cascalho. =) Dica do trilheiro: Para os menos condicionados, podem realizar só a ida da trilha (combinar quem vai buscar), ou melhor, levar um bom lanche e descansar em um dos pontos da trilha.",,7,3 de agosto de 2019
3,Lindo!,Apesar do acesso ser mais difícil a praia é muito limpa. Percebemos muitos pescadores (pesca de arremesso) felizes com os resultados. Recomendo.,"Brusque, SC",76,25 de março de 2019
5,"Melhor praia de Penha, sem dúvida alguma.","Praia com acesso mais difícil, porém uma delícia. Pra quem gosta de ondas, aqui é o local. As ondas não são tão grandes, água é limpa e pasme, com a temperatura super agradável.","São Paulo, SP",275,25 de março de 2019
