rating,title,text,location,num_contributions,date
5,Melhor praia de SFS,"Praia pequena com areias brancas, ondas e águas cristalinas, point de surf mas que permite um banho de mar muito agradável. Tem estrutura básica, chuveiros e tudo funcionando, além de uma orla com diversas opções de bares e restaurantes. No mês de abril, tudo tranquilo com pouco movimento, mas deve encher bastante no verão. E ainda tem um grande sambaqui no canto. Melhor praia da Ilha!",,59,11 de abril de 2024
5,Lugar incrível,"Praia incrível. Ótimas ondas para surf, muito bem frequentada, lugar tranquilo para passeio com família. Ótimos quiosques com preço justo",,4,16 de fevereiro de 2024
5,"Lugar lindo, visita obrigatória.","Lugar agradável, praia linda com boa infra estrutura! O mar muiyo limpo, no dia estava bem nervoso...ótimo para surf.","Curitiba, PR",35,10 de janeiro de 2024
5,Praia mais azul da ilha,"Praia linda, o mar mais azul de São Chico, gente bonita, diversos bares e restaurantes. A prainha como a Enseada são os lugares mais badalados das praias da ilha de São Francisco do Sul. Difícil é achar vaga pra estacionar. Mas nada que uma caminhada não resolva.",Paraná,326,14 de fevereiro de 2023
5,Adoramos!,Tanto gostamos que na próxima semana estaremos indo para nós hospedarmos lá. Bares na orla e um atendimento bacana.,,78,26 de outubro de 2020
5,Maravilhosa,"Linda e perigosa. Águas cristalinas, bandeira azul, point de surf, praia limpa e que todos que a frequentem cuidem do seu lixo, da vegetação, do sambaqui e da restinga. Respeito a este paraíso para que se perpetue assim: bela, preservada e limpa `","Curitiba, PR",82,15 de janeiro de 2020
4,Linda praia,"Praia linda. Point da moçada e de sufistas. Um deck super gostoso pra apreciar a paisagem. Água limpa mas o mar tem bastante ondas, bem diferente da praia de Enseada.","Curitiba, PR",17,24 de novembro de 2019
4,Paraíso do Surf.,"A Prainha, ou Praia da Saudade é tudo que se quer em praias... Águas limpíssimas, paisagem belíssima, emoldurada com areia branca...Há, no local, bares e restaurantes que servem, especialmente, frutos do mar e bebidas geladas. O local é frequentado por surfistas, o que pode trazer agito... Vale conhecer...","São Francisco do Sul, SC",1,6 de novembro de 2019
5,Praia,"Praia pequena com bares no calçadão com cervejas e comidas boas, bom para passar uma tarde  e aproveitar os bares.","São Paulo, SP",174,21 de outubro de 2019
4,Ondas Enormes,"Local muito bonito apesar do mau tempo e ventos muitos fortes, ondas enormes faziam a praia ficar mais bonita batendo nas pedras dos dois lados do lugar.","Castro, PR",1,16 de outubro de 2019
5,Prainha,"Muito deliciosa, ondas altas mas sem perigos. Água transparente Bares lindos e atrativos Pertinho de enseada, praia do molhe, e grande. Dá pra ir a pé. Fui uma vez e me encantei, volto sempre que posso.","Maringá, PR",2,26 de agosto de 2019
5,Linda !,"Uma praia super simpática em São Francisco do Sul, gostosa para ir também a noite pois possui varios bares e restaurantes com comidinhas e bebidas deliciosas. Duas dicas : para hospedagem tem a Pousada Prainha, bem familiar e pertinho da praia. E para refeições, o Bar do Banana. Adorei tudo !","Curitiba, PR",54,7 de agosto de 2019
5,Uma delícia de lugar,"O nome dessa praia não é somente sugestivo, é perfeito para o lugar. Uma prainha pequena e deliciosa, com boas ondas e dois costões lindos!","Florianópolis, SC",18,15 de junho de 2019
5,Praia dos Surfistas,"Prainha localmente também é conhecida como a praia dos surfistas, por ter ondas altas e com uma ótima formação em suas séries, formada entre duas montanhas de pedra. Diversas opções de barzinhos à beira-mar sendo lá também a localização do surf bar que é considerado o Point entre os locais. Você pode tranquilamente sentar em uma mesa no calçadão que os bares à beira-mar irão te servir da melhor forma possível!",,35,9 de março de 2019
4,De tudo um pouco,"Água limpa,mas não tranquila,para crianças se torna mais perigoso. Tem uma boa faixa de areia, onde passam diversos vendedores ambulantes. Também tem mirantes para quem gosta de uma bela vista. Possui calçadão com alguns estabelecimento comerciais. É uma praia pequena, mas muito bonita. Como estava com uma criança fiquei apenas uma tarde devido às ondas muito fortes, nesse caso indico a praia da enseada que parece uma lagoa.",,57,14 de fevereiro de 2019
5,Ttanquilidade.,"Pequenina e com alguns bom restaurantes, a Prainha é excelente para voce passar um dia muito agradável.","Curitiba, PR",184,10 de fevereiro de 2019
4,Quase perfeita!,"Praia com infraestrutura de aluguel de cadeira e guarda sol, poucas barracas. Água limpa e transparente.Não tem peixes, plantas .... ótima para banho, mas bate um pouco.","Brasília, DF",92,27 de janeiro de 2019
4,"Praia linda, água limpa, mas perigosa","A Prainha na minha opinião é a melhor praia de São Chico, badalada pelos jovens, frequentada pelos surfistas. Tanto de dia como a noite a orla ficha cheia, com muitas opções de restaurantes e barzinhos, vários com música ao vivo. Recomendo para quem quer ver movimento, e não sossego. Com crianças o que preocupa o mar ser um pouco agitado, não dá para descuidar.","Castro, PR",75,9 de janeiro de 2019
4,Férias,"A praia fica bem cheia nesse período do ano mas mesmo assim água e areia limpas... Poucas opções de aluguel de guarda sol e cadeiras... melhor levar o seu ""kit""... os bares não fornecem mesmo que você consuma... pelo menos nessa época do ano não tivemos esse tipo de serviço","Itu, SP",61,4 de janeiro de 2019
4,O point,"Primeira praia que conheci em São Fco do Sul. Lugar badalado, procurado pelos surfista. Ondas, mar quente e muitos bares na orla. Calçadão bem cuidado e boa infraestrutura. Vale conhece e curtir.","Porto Alegre, RS",971,4 de dezembro de 2018
5,Ótima para passar o dia,"A praia é localizada entre duas pedras, as quais possuem trilhas que podem ser exploradas para se obterem vistas panorâmicas do local. Muito limpa com ondas um pouco fortes. Ideal para passar o dia relaxando e se divertindo.","Maringá, PR",13,3 de dezembro de 2018
4,JUVENTUDE ATIVA,"prainha fica entre duas montanhas rochosas....E a preferida dos jovens pelas ondas formadas,,,é iuma praia de brancas areias muito limpa e aguas claras. Nessa praia se encontra os melhores barzinhos e os melhores pratos. No verao e completamente cheia de jovens que  gostam de surfar ,No verao tem  campeonato de surf.","Porto Velho, RO",194,1 de novembro de 2018
5,Praia encantadora,"Quem vem em São Chico, tem que conhecer a Prainha (Praia da Saudade), um lugar magnifico, point da galera surfista o ano todo, bares de frente para o mar com suas mesas no calçadão, preços satisfatórios para a bela vista que se tem, vale muito a pena conhecer, vc não vai se arrepender.","São Francisco do Sul, SC",112,17 de setembro de 2018
5,Uma das melhores praias que eu já estive!,"A prainha é uma das melhores praias em que eu já estive. Temperatura da água fantástica, muitas ondas, pessoas bonitas... Outro ponto forte são os preços, por ser uma praia, eu achei o preço da comida e das bebidas muito bom. Praia limpa, organizada... Enfim, perfeita!","Araguari, MG",14,3 de abril de 2018
5,"AGUAS LIMPAS, LOCAL LINDO, BARES A BEIRA MAR","Local bonito, agua limpa, calcadao, opçoes de caminhadas no morro para vista panoramica, varios bares e restaurantes, estacionamento nas ruas transversais, guarda vidas, algumas pousadas, otimo astral",,7,16 de fevereiro de 2018
4,Verão de 2018,"Praia de famílias de surfistas jovens, tranquila e com todos os serviços de segurança e com a comodidade de bares e restaurantes servindo na areia.","Joinville, SC",79,8 de fevereiro de 2018
5,Muito boa praia. Pequena e limpa,"A praia é limpa e a areia fininha. Vale a pena para passar o dia com a familia. Possui uma beira mar e locais para estacionar nas ruas laterais.  A estrutura é boa, com restaurantes e comércio local. As aguas agitadas, motivo pelo qual sempre tem campeonatos de surf.","Joinville, SC",996,5 de fevereiro de 2018
5,Prainha,"Aqui em São Francisco do Sul contamos com várias praias incluindo a chamada Prainha, onde é própria para surfistas e sua paisagem é encantadora. Nas imediações da mesma contamos com bares e restaurantes que estão abertos no verão e o famoso Surf Bar com baladas nos finais de semana.","São Francisco do Sul, SC",14,18 de janeiro de 2018
4,Ótima praia!,"Praia muito bonita, bem localizada e com ótima estrutura com bares, quiosque e restaurantes próximos.","Ribeirão Preto, SP",373,16 de janeiro de 2018
3,Pequena,Como o próprio nome diz é uma praia pequena. Me pareceu um point do surf e tem um play pra molecada.,,342,13 de janeiro de 2018
5,Muito linda,"Praia limpa e muito bonita, com ondas um pouco fortes. Depois no ano novo, a praia estava super limpa. Recomendo o lugar, muito bem cuidado.","Londrina, PR",11,8 de janeiro de 2018
4,Muito bonita!,"Praia linda,  cercada por paredões rochosos. Apesar de pequena tem boas opções de restaurantes e bares. Uma delícia.","Londrina, PR",60,23 de dezembro de 2017
4,PRAIA DOS SURFISTAS,Esta praia é dos surfista porque tem muitas ondas e o mar é agitado e perigoso mas é muito bonito o local com muita areia.,"Joinville, SC",301,19 de dezembro de 2017
4,Ótima pra jovens,"Ótima praia para surf, banho e brincar na areia. Possui um calçadão para apreciar a vista e praticar exercícios. Em frente à Avenida, dispõem de variadas opções de restaurantes e bares. Indo em direção à Praia Grande, possui um Mirane de Sambaqui.","São Paulo, SP",986,13 de novembro de 2017
5,Passeio,Praia linda e muito agradável para passeio a beira mar. Boa opção para apreciar a vista no fim da tarde.,,15,11 de novembro de 2017
5,Descanso!!!,"São Francisco do Sul, cidade pacata, mas com praias lindas e pra todos os gostos!!! Familiares, surf, enfim um ótimo lugar!!","Florianópolis, SC",115,7 de novembro de 2017
5,Lugar lindo,"Lugar lindo, abençoado por Deus é lindo por natureza. Pra mim é uma das praias mais lindas do mundo. Com ótimos lugares pra banho, além de ótimos restaurantes. Pra mim o melhor restaurante é o Raíz, e outro ao ar livre o Banana.","São Francisco do Sul, SC",423,26 de abril de 2017
4,Ótima estrutura,"Como o nome diz, é uma pequena praia entre dois grandes morros de pedra. É bem arrumadinha, com um calçadão e banquinhos na orla. Possui diversos bares e restaurantes à beira mar.","Goiânia, GO",329,21 de abril de 2017
4,Linda e  limpa,"A praia é muito bonita e limpa. Tem bombeiros de olho na água, tem muitas bandeirolas indicando onde é perigoso, então não deu pra ir muito além, mas dá pra curtir tranquilamente. No entorno tem um calçadão com aparelhos de exercicios fisicos e diversos butequinhos.",,80,21 de abril de 2017
3,Pequena e agitada,"A Prainha é bem pequena, de águas agitadas e perigosas. Boa para surfe. É o point da ilha, com bares na rua beira-mar e mesas no calçadão para curtir o visual.","Bragança Paulista, SP",387,19 de abril de 2017
5,Muito bom,"Boa estrutura, chuveiros, praia tranquila para as crianças. Fácil acesso e estacionamentos. Certamente recomendo.","Chapecó, SC",201,15 de abril de 2017
5,Praia Mais Badalada de São Chico,"Praia mais badalada de São Francisco do Sul. Paisagem muito bonita, apesar de ter pequena extensão. Com calçadão para ficar ou caminhar. Possui ótima infra estrutura de restaurantes e bares.","Curitiba, PR",53,3 de março de 2017
5,Linda demais,Praia pequena com vista bonita! Mar agitado num nível bom pra curtir as ondas. É minha praia preferida em São Francisco do Sul!,,7,14 de fevereiro de 2017
5,Praia linda,"Dentre as praias que estivemos em São Francisco do Sul, essa é mais bonita e limpa, o mar é mais agitado que as demais. Diversas opções de bares e restaurante por perto.",,8,21 de janeiro de 2017
5,A mais linda de São Chico,Entre rochas e altas ondas. Linda para fazer fotos e sentar para conversar com os amigos. Perigosa para banho. Boa para surfar.,"Tatuí, SP",52,17 de janeiro de 2017
5,Agito,"Praia para agitar, muitos bares e gente para diversão, apesar de pequena possui atrativos bem interessantes.","Curitiba, PR",116,13 de janeiro de 2017
3,Pequena e bonita,Bem pequena e como tem águas mais agitadas tem a preferência dos surfistas. Vários barzinhos e pessoas vendendo artesanato. Praia com muitos jovens.,"Franca, SP",111,9 de janeiro de 2017
5,Praia lindinha!!!,Uma praia gostosa com mar limpo e água gelada. Ideal para quem gosta de surfar ou curtir com a família. Possui vários barzinhos e um calçadão delicioso pra caminhada ou contemplação da vista.,"Joinville, SC",261,9 de janeiro de 2017
5,Show,"Praia muito gostosa onde é bom para as crianças várias opções para comprar refrigerantes, água, suco e cervejas. A praia e boa para as crianças mas se deve ter atenção extra ao final do dia ondas fortes.","São Paulo, SP",18,8 de janeiro de 2017
5,Praia jovem,Praia de tamanho pequeno com grande quantidade de ondas. A de escolha dos surfistas. Muito bonita. Vale a pena passar visitar. Barzinhos bem em frente ao mar. Praia mais jovial.,"Curitiba, PR",165,31 de dezembro de 2016
5,Linda!,"Praia linda, águas cristalinas... ótimo para surf, mas para quem quer entrar na água ela é bem agitada. Lugar maravilhoso.","Colombo, PR",43,13 de dezembro de 2016
4,Bonita,"Bonita e pequena mais acolhedora , com ondas agitadas , ideal para surf , podendo sim tomar banho de mar , possue salva vidas , orla com bares e restaurantes , a praia fica do lado da praia grande , um morro separa as duas , este morro serve como mirante , linda vista de cima !!! La recomendo o Facebar para lanches e para posar recomendo o Edificio Brisa do Mar , com apartamentos limpos e novos , suite com ar bem bacana mesmo","Cianorte, PR",174,24 de novembro de 2016
5,Bonita por Natureza,"Visual maravilhoso, ótimas opções de bar, lanchonete e restaurante na orla. Alguns com atendimento até mesmo na areia. Mar lindo, visual lindo, possui salva-vidas, posto dos bombeiros, local muito bacana. Mar gostoso, se tiver oferecendo perigo, o salva-vidas logo adverte. Recomendo muito!","Ponta Grossa, PR",59,20 de novembro de 2016
5,Limpa,"ótima vista, bom para tomar banho no mar, há algumas lanchonetes próximas para fazer lanches, bom lugar para passeios","Prudentópolis, PR",78,20 de novembro de 2016
3,Surf e mar agitado,"Local agradável, gente bonita, Praia de pequena extensão, mar revolto, boa para surfistas, cercada por dois morros, vale a pena a visita.","São Paulo, SP",356,14 de novembro de 2016
4,Ótima praia,Lugar ótimo para se curtir fora de temporada. Durante a temporada tem muita bagunça....A praia é tranquila e tem ótimos restaurantes na orla com comida muito boa.,"São José dos Pinhais, PR",36,7 de novembro de 2016
3,Bela praia,A Prainha é um local bem agradável para se passear em dias calmos. Porém não possui muitas opções de alimentação e a praia é pequena.,"Joinville, SC",43,4 de novembro de 2016
5,Praia linda,"Mesmo sem sol, tempo nublado e não muito quente, deu para passearmos na orla, que é muito bem cuidada e muito bonita. Na prainha, tem várias opções de bares e restaurantes.",,10,17 de outubro de 2016
3,praia agradavel mas muito pequena,Praia excelente mas pequena e que cabem poucos turistas e barracas.Se você quiser frequentar é bom que chegue muito cedo para encontrar espaço. Mas existem vários restaurantes na região com  muitas variedades.,"Arujá, SP",159,4 de outubro de 2016
5,Prainha,"Acredito que seja o melhor lugar de São Chico para aproveitar a praia de dia e de noite, sem comparação!","Itapeva, SP",33,18 de setembro de 2016
4,Praia de Surfistas,"Praia excelente para surfistas. Sempre que posso estou nesta praia, lugar lindo com restaurantes, bares, calçadão na orla. Ótimo para quem aprecia a natureza.",,8,1 de setembro de 2016
5,Praia linda,"Lugar muito lindo para passar o dia, possui um calçadão na orla da praia, com paisagem digna de cartão postal. Com certeza a mais bonita da região.","Castro, PR",24,23 de agosto de 2016
4,Linda Praia,"Lugar bem conhecido,muitos turistas,calçadão lindo,praia de surfistas,muitos bares ao longo da praia.",,64,20 de agosto de 2016
5,Linda demais,"Adoro ir lá,muito lindo o lugar,passo o dia com a família, a vista da pedra é linda. Muitos restaurantes e pousadas perto","Joinville, SC",28,20 de agosto de 2016
