praia,aspecto,aspecto_nome,n_avaliacoes,n_mencoes,pct_mencoes,nota_media,nota_mediana,pct_negativas,pct_positivas,confianca_media,exemplos_evidencia
praia_alegre,acesso_estacionamento,Acesso / estacionamento,112,12,10.71,3.0,3.0,33.33,33.33,0.94,"sem estacionamento | não existe mais estacionamento beira mar... mas existem estacionamento perto | falta de estacionamentos, vez que a avenida da orla não possui vagas e as ruas adjacentes são muito estreitas | acesso é fácil... estacionamento acessível | infelizmente só é ruim pra parar o carro | Não há estacionamento a beira mar | Problemas são: estacionamento para carros | Poucas vagas de estacionamento na avenida... Várias opções de estacionamentos pago | de fácil acesso | Acesso tranquilo "
praia_alegre,beleza_natural,Beleza natural,112,21,18.75,4.76,5.0,0.0,95.24,0.95,"Praia bonita | Praia linda | praia já era linda por natureza | a praia é muito linda | Bela praia | linda praia... maravilhosas praias | Linda... vista é desobstruída | vista maravilhosa | tem uma linda vista | Lugar bonito | boa para apreciar a vista | muito bonita | Lugar lindo | lugar encantador. muito bonito | local é muito bonito... A praia é linda | A praia é bonita | visual é bonito | O visual é lindo demais | É uma boa praia, mas apenas uma praia | vista bonita"
praia_alegre,comercio_servicos,Comercio / servicos,112,23,20.54,3.74,4.0,8.7,78.26,0.93,"existem quiosques e restaurantes perto | Poucos bares e quiosques | alguns quiosque... apenas com comidas rápidas. Nenhum restaurante | com restaurantes entre outros estabelecimentos | Atenderam bem, comida ok e cerveja gelada | existem algumas barracas e restaurantes | tem quisoques | Tem restaurantes que serviam na praia | algumas opções de bares defronte para o mar | várias opções para comer e beber na beira da praia | locais para comer, alugar caiaques e prachas de stand up | restaurantes qu"
praia_alegre,custo_beneficio,Custo-beneficio,112,3,2.68,3.33,4.0,33.33,66.67,0.93,preço de consumo abusivo | Todos os ambulantes e os serviços tem preços razoáveis | Preço justo para as bebidas
praia_alegre,familia_criancas,Familia / criancas,112,34,30.36,4.91,5.0,0.0,100.0,0.96,Muito boa para aproveitar com as crianças | as crianças adoraram | Recomendo para familias e crianças | As crianças adoraram! | Excelente para levar as crianças | principalmente para crianças | para receber famílias com crianças | excelente para crianças brincarem | ótima para crianças | para aproveitar com crianças é um bom lugar | Boa para crianças | lazer da criançada | Otima Cidade para passeios em familia | Praia muito legal para ir com a família | Ótima praia para se curtir em família | Mu
praia_alegre,infraestrutura,Infraestrutura,112,30,26.79,4.2,4.5,13.33,86.67,0.95,"O calçadão ficou lindo e atrativo | Sem nenhuma estrutura de ducha, banheiros | organizada | bela reforma na praia, calçadas e asfalto novo | repleta de estrutura | completa infraestrutura e foi toda reurbanizada e recuperada | Boa estrutura de quiosques e cadeiras para alugar | com calçadão e bares credenciados | excelente calçadão | melhorias por parte do governo municipal... locais para alimentação e bebidas | Uma ciclovia e um calçadão parcialmente sombreado | bom calçadão com bancos a cada "
praia_alegre,limpeza,Limpeza,112,41,36.61,2.9,3.0,48.78,43.9,0.96,"Praia suja , mal cuidada , lixo espalhado | quantidade de lixo é absurda | Água escura com cheiro de podre. Muitos dejetos boiando | esgoto indo direto para o mar | sujeira que nela tem, muito lixo | não recebe um tratamento de esgoto decente, o que prejudica, e muito, sua água | praia está imunda! Muito suja | Praia limpa | não estava própria para banho, onde eu entrei no mar com um calção branco e saiu amarelado | águas... limpas | Achamos um rato morto na areia | Praia suja | água é muito suj"
praia_alegre,mar_banho,Mar / banho,112,64,57.14,3.44,4.0,32.81,53.12,0.95,"Água marrom , impropria para banho | praia impropria para banho | sem condições para banho | águas tranquilas | está imprópria para banho | águas calmas e limpas | Ideal para quem gosta de mar tranquilo | Imprópria | sem condicoes de banho | impropria para banho | sem condições de banho | Mar gostoso e bem calmo | água é imprópia para banho | mar é calmo | Uma piscina!. Praia muito gostosa para quem não gosta de ondas. Água quentinha. | ideal para quem não gosta de ondas | mar calmo | mar calmo "
praia_alegre,seguranca,Seguranca,112,5,4.46,2.8,2.0,60.0,40.0,0.97,"revitalização trouxe para a praia a segurança necessária | A noite não é muito segura, devido a presença de marginais. | espinhos que grudam no pé e machucam | Mais segura | me senti meio acoada por alguns olhares"
praia_alegre,tranquilidade,Tranquilidade,112,40,35.71,4.42,5.0,7.5,87.5,0.94,sossego | não ouvi aquela barulheira de som | Praia Tranquila | Praia tranquila | lugar tranquilo e agradável | bastante tranquila | Uma praia bem tranquila | Praia bem tranquila | e tranquila | ideal para descanso | muito cheio durante o verão | Melhor praia de penha pra quem quer sossego | Super tranquila | Lugar tranquilo | muito tranquila | Muito movimentada. aglomeração nos fins-de-semana | Praia calma | praia tranquila | boa mas cheia | Praia muito tranquila | Praia calma. | praia é tranqu
