rating,title,text,location,num_contributions,date,praia
5,Otima Cidade para passeios em familia.,"Cidade tranquila, com boas praias, restaurantes e o Beto Carreiro. Há algumas ruas de terra ainda, mas nada que atrapalhe o passeio.",,1,22 de abril de 2025,praia_alegre
1,Praia abandonada,"Praia suja , mal cuidada , lixo espalhado pela orla inteira isso óbvio pela falta de educação das pessoas bem como pela negligência do poder público . Água marrom , impropria para banho , etc Fujam dessa praia","Cotia, SP",18,8 de janeiro de 2025,praia_alegre
5,Caro e fica em praia impropria para banho,"Lugar aconchegante porém com preço de consumo abusivo, e praia impropria para banho. Não compensa o valor, não recomendo",,2,4 de outubro de 2024,praia_alegre
5,Tardena Praia Alegre,"Praia muito legal para ir com a família, mar calmo para as crianças! Alguns bares e restaurantes que servem petiscos na areia, gostamos muito do Pexero","Penha, SC",3,13 de junho de 2024,praia_alegre
4,"Tem potencial, só precisa de atenção do pode público","Eu frequento a cidade de Penha desde 2002, é triste ver o que a Praia Alegre é o Trapiche se tornaram. Na alta temporada a quantidade de lixo é absurda. O local é bom para praticar esportes, pedalar, patinar. Tem vários barzinhos na beira da praia, o visual é bonito. Mas falta cuidado da prefeitura, parece que abandonaram.","Gaspar, SC",1,1 de junho de 2024,praia_alegre
1,O nome é Praia Alegre. Pela poluição deveria se chamar Praia Triste.,"Praia poluída. Estávamos em Armação e decidimos conhecer outras praias da cidade. Escolhemos a Praia Alegre, que na verdade está muito triste pela questão ambiental. Água escura com cheiro de podre. Muitos dejetos boiando, sujeira em toda a água e peixes mortos boiando e na areia. E não era 1 peixe. Eram vários peixes. Estávamos com nossa filha de 5 anos e fomos pela informação do site da prefeitura que diz que é ótima pra crianças. Decidimos voltar para Armação que é belíssima e limpíssima. Não levem seus filhos na praia alegre","Blumenau, SC",13,7 de janeiro de 2024,praia_alegre
3,Férias com a família!,"Praia movimentada, boa para crianças! Apesar do movimento o ambiente é agradável! Para utilizar serviços dos quiosques (restaurantes) é preciso fazer reserva devido a alta temporada! Não há atendimento nas sobrinhas!","Belo Horizonte, MG",26,7 de janeiro de 2024,praia_alegre
4,Passeando por Penha!,"Passeando pela Praia de Penha conhecemos a Praia Alegre. Oferece uma boa infraestrutura com quiosques , as águas são calmas e tranquilas, ideal para ir com crianças ou idosos. O visual é lindo demais.","Farroupilha, RS",34,26 de agosto de 2023,praia_alegre
5,Praia alegre,"Praia pequena e calma, não cheguei a entrar na água, tem um canto impróprio para banho. Local bom para lazer e praticar esportes.","Gaspar, SC",1,8 de maio de 2023,praia_alegre
4,Praia tranquila mas com ressalvas,Praia tranquila e bem familiar. As águas são meio turvas pela mistura com o rio ao lado que traz também muitos ganhos que dificultam criança pequena a entrar na água.,,104,22 de janeiro de 2023,praia_alegre
5,Praia limpa e tranquila,"É uma praia bem gostosa, limpa e tranquila. O nome reflete bem a condição das pessoas por lá.  Ambiente familiar e agradável.","Araras, SP",9,18 de abril de 2022,praia_alegre
4,Passeio para relaxar,"Praia muito tranquila, de fácil acesso, com pequenos estabelecimentos comerciais próximos. Minha filha de 4 anos adorou brincar pegando conchinhas e  na época que fomos, em novembro, a água não estava suja como li em outros relatos. No dia estava ventando muito, mas mesmo assim deu para aproveitar.","Belford Roxo, RJ",73,16 de abril de 2022,praia_alegre
4,Até que...,"Avaliação por penha ser uma cidade tranquilo e familiar, mas as praias estão todas com esgoto indo direto para o mar, o cheiro é muito forte.. não entendo como a prefeitura da cidade ainda não tomou providências por ser uma das maiores cidades de fluxo de temporada de SC.",Paraná,1,4 de janeiro de 2022,praia_alegre
5,ótima praia,otima praia na cidade de penha um vista maravilhosa  vale a pena conferir fui agora em janeiro 2021 e voltarei em breve,,5,3 de fevereiro de 2021,praia_alegre
3,Suja,"A praia é bem legal, vários quiosques na quadra, espaço para jogar volei e futebol de areia, o único problema é a água suja que vem do Rio ao lado da praia","Chapecó, SC",3,11 de janeiro de 2021,praia_alegre
5,lugar tranquilo,"lugar tranquilo, águas um pouco enganosas, tem que ter cuidados, mas é bom pra família, tem uma linda vista.","Balneário Camboriú, SC",66,22 de maio de 2020,praia_alegre
4,Praia,"Ótima praia para se curtir em família. Com crianças pequenas. Mar cal,o. Prática de stand up padle, caiaque, etc.",,6,6 de março de 2020,praia_alegre
3,Praia calma boa para crianças,"Praia bem calma e boa para crianças brincarem. Não é das mais limpas, mas aceitável. Poucos quiosques e vendedores.","Jundiaí, SP",560,20 de fevereiro de 2020,praia_alegre
4,Adorei,"Muito boa para crianças, tinhas pontos com árvores aonde dava para ficar embaixo e ficar bem fresquinho, tem local q aluga cadeiras e guarda sol, nas ruas q cortam avenida beira mar, consegue estacionar carros. Deu para aproveitar bastante o dia","São Paulo, SP",18,4 de fevereiro de 2020,praia_alegre
5,"Praia tranquila, com estrutura para criança","Praia tranquila, águas idem e limpas, porém com algumas pedrinhas na beira. Tem estrutura para levar criança. Fui com meu filho de 8 anos. Fiquei num guarda-sol e consumi 40 reais. Preço justo para as bebidas e porções. Bastante família. Estacionamento na frente, da mesma ""barraca"".","São Paulo, SP",27,11 de janeiro de 2020,praia_alegre
4,Boa,"Praia de mar calmo com poucas ondas, porém a água não é das mais limpas. Mas mesmo assim para aproveitar com crianças é um bom lugar, com restaurantes entre outros estabelecimentos.","Gaspar, SC",2,1 de janeiro de 2020,praia_alegre
4,Boa,"Uma praia que só não é ótima pela sujeira que nela tem, muito lixo. Mas se não fosse isso seria excelente, a extensão de areia é ótima, as ondas, localização, das praias que conheço em Penha acho que seria a melhor.","Dois Vizinhos, PR",628,6 de novembro de 2019,praia_alegre
4,Atendeu as expectativas,"Praia calma. Embora eu tivesse ouvido falar sobre proximidade com esgoto, não vi nada de errado. Vi tb na internet que a praia estava própria para banho neste mês de novembro 2019. Fiquei nas mesas/cadeiras na praia, do restaurante Merluza. Atenderam bem, comida ok e cerveja gelada. Mar calmo. Precisei comprar uma coisa na farmácia. Andei umas três quadras e encontrei fácil. Fui e voltei de Uber da minha pousada. Resumindo, foi um bom passeio. A família aproveitou.","Valinhos, SP",16,3 de novembro de 2019,praia_alegre
3,Praia próxima ao rio,"A praia fica próxima ao rio que, como na maioria dos lugares do Brasil, não recebe um tratamento de esgoto decente, o que prejudica, e muito, sua água. Apesar disso, é uma praia relativamente tranquila e o mar possui poucas ondas. Além disso, possui um ""calçadão"" bem bonitinho em volta.","Blumenau, SC",9,22 de setembro de 2019,praia_alegre
4,A revitalização para melhorar,A revitalização trouxe para a praia a segurança necessária para que todos podessem frequentar a sua orla. O calçadão ficou lindo e atrativo. A faixa de areia extensa é propicia para a prática de esportes. Vale a pena passar pela praia.,"Piçarras, SC",433,2 de junho de 2019,praia_alegre
3,Boa praia,"Praia com saida do hotel para areia, lugar agradável, fui fora de temporada, não sei como seria na temporada, ideal para descanso.",,3,8 de abril de 2019,praia_alegre
2,"Uma praia lagoa, com a água escura e areia suja.","Não gosto de praias que parecem lagoa, por isso já perdeu o encanto, fora isso, a água é escura, a areia suja e a praia é bem urbana. Não recomendo.","São Paulo, SP",275,25 de março de 2019,praia_alegre
4,Pequena com muita tranquilidade,"Praia Alegre tem águas calmas, mas atualmente tem apresentado problemas de poluição como muitas praias de Santa Catarina. É bastante tranquila e na temporada oferece varios esportes náuticos como “stand up paddle “, caiaque e outros. Tem alguns locais à beira mar para fazer lanche e também uma pousada onde você pode jantar ou tomar um aperitivo.","Caxias Do Sul, RS",248,20 de março de 2019,praia_alegre
3,"Urbana, com infraestrutura básica","A Praia Alegre é uma praia urbana, mas agradável. Do lado direito, tem um rio com barcos ancorados e um manguezal. Tem uma espécie de molhe de pedras e um píer. Uma ciclovia e um calçadão parcialmente sombreado por amendoeiras e uma faixa gramada segue ao longo da praia. Do outro lado da rua também há algumas árvores, principalmente no início e no final da praia, não é contínuo. As construções não são pé na areia, ficam do outro lado da rua. Conta com infraestrutura básica com alguns bares, restaurantes e hospedagens. Tem restaurantes na rua da praia, mas há mais opções (restaurantes, padarias, lanchonetes, bares) na Av. Nereu Ramos que é paralela à rua beira-mar, uma rua para dentro. Tem mar calmo e faixa larga de areia, onde ocorrem campeonatos esportivos e eventos de lazer. Do lado esquerdo tem estrutura montada na areia para eventos aos finais de semana como campeonatos de futebol de areia e outros. Desse lado, também tem um rio e do outro lado já é Balneário Piçarras. O rio tem pedras em ambas as margens, provavelmente para contenção. Daí parte o passeio da Escuna Aventura Pirata com destino às praias e à Ilha Feia, mas fora da alta temporada é difícil formar grupos e a saída ocorre somente com o mínimo de 8 pessoas. Do mesmo rio, mas pelo lado de Balneário Piçarras, sai um passeio semelhante da Escuna Vó Nica. Disseram que o passeio da Vó Nica é mais interessante, por passar por mais praias e ir até a Ponta da Vigia. Porém, o pessoal gosta bastante da Escuna Aventura Pirata por causa da temática","Taubaté, SP",1,27 de janeiro de 2019,praia_alegre
